sentence_id	sent_id	chapter_id	n_tokens	target_idx	lemma_id	lemma	upos	cell	formation	form	unsandhied	corpus_freq	sentence_cloze	sentence_full	distractor_forms	n_distractors	drill_mode
1431	483830	7669	8	1	157264	vac	VERB	Past.Ind.3.Sing.NonPass		ūce	ūce	33948	___ dehi bṛhat sthānaṃ prākṣipat ca ambudhau tataḥ	ūce dehi bṛhat sthānaṃ prākṣipat ca ambudhau tataḥ	ucyate|ūcuḥ|vakṣyāmi	3	mcq
1452	483851	7670	7	1	157264	vac	VERB	Fut.Ind.1.Sing.NonPass		vakṣye	vakṣye	33948	___ kūrma avatāram ca śrutvā pāpa praṇāśanam	vakṣye kūrma avatāram ca śrutvā pāpa praṇāśanam	uvāca|ucyate|ūcuḥ	3	mcq
312	590070	9744	11	1	86559	deva	NOUN	Nom.Plur		devāḥ	devāḥ	22996	___ suparva sura nirjara devatā ṛbhu barhirmukha animiṣa daivata nāki lekhāḥ	devāḥ suparva sura nirjara devatā ṛbhu barhirmukha animiṣa daivata nāki lekhāḥ	devānām|devaḥ|devān	3	mcq
1471	483870	7670	8	3	86559	deva	NOUN	Nom.Plur		devāḥ	devāḥ	22996	paśyantaḥ sarva ___ tām stuvantaḥ sa śriyaḥ 'bhavan	paśyantaḥ sarva devāḥ tām stuvantaḥ sa śriyaḥ 'bhavan	devānām|devaḥ|devān	3	mcq
1501	483900	7672	7	1	86559	deva	NOUN	Ins.Plur		devair	devaiḥ	22996	___ gatvā stuto viṣṇur yajña rūpaḥ varāhakaḥ	devair gatvā stuto viṣṇur yajña rūpaḥ varāhakaḥ	devāḥ|devānām|devaḥ	3	mcq
347	590105	9744	10	1	70467	rājan	NOUN	Nom.Sing		rājā	rājā	19360	___ niśo ratnakarau ca candraḥ somo amṛta śveta hima dyutiḥ	rājā niśo ratnakarau ca candraḥ somo amṛta śveta hima dyutiḥ	rājñ|rājānam|rājñaḥ	3	mcq
1550	483949	7673	6	1	70467	rājan	NOUN	Abl.Sing		rājño	rājñaḥ	19360	___ daśarathāt rāmaḥ kauśalyāyāṃ babhūva ha	rājño daśarathāt rāmaḥ kauśalyāyāṃ babhūva ha	rājā|rājñ|rājānam	3	mcq
1575	483974	7675	6	1	70467	rājan	NOUN	Nom.Sing		rājā	rājā	19360	___ daśaratho rāmam uvāca śṛṇu rāghava	rājā daśaratho rāmam uvāca śṛṇu rāghava	rājñ|rājānam|rājñaḥ	3	mcq
1075	506294	7429	9	2	5705	agni	NOUN	Loc.Sing		agnau	agnau	19309	kṣiptā ___ bhasma na syāc cimicimi kurute carmagandhā hutāśe	kṣiptā agnau bhasma na syāc cimicimi kurute carmagandhā hutāśe	agniḥ|agnim|agne	3	mcq
1156	506375	7430	5	1	5705	agni	NOUN	Loc.Sing		'gnau	agnau	19309	___ dravīkṛto dugdha nipātitaḥ vā	'gnau dravīkṛto dugdha nipātitaḥ vā	agniḥ|agnim|agne	3	mcq
1162	506381	7430	7	2	5705	agni	NOUN	Acc.Sing		agniṃ	agnim	19309	kramād ___ tato dadyād bhiṣag yāma catuṣṭayam	kramād agniṃ tato dadyād bhiṣag yāma catuṣṭayam	agniḥ|agne|agnau	3	mcq
1475	483874	7670	8	2	156214	gam	VERB	Past.Ind.3.Plur.NonPass		jagmuḥ	jagmuḥ	18341	gṛhītvā ___ janma ādyāḥ viṣṇuḥ strī rūpadhṛk tataḥ	gṛhītvā jagmuḥ janma ādyāḥ viṣṇuḥ strī rūpadhṛk tataḥ	jagāma|gacchati|gaccha	3	mcq
1741	484140	7678	7	1	156214	gam	VERB	Past.Ind.3.Plur.NonPass		jagmū	jagmuḥ	18341	___ rāmaṃ sa sugrīvam apaśyantas tu jānakīm	jagmū rāmaṃ sa sugrīvam apaśyantas tu jānakīm	jagāma|gacchati|gaccha	3	mcq
1844	484243	7681	7	2	156214	gam	VERB	Pres.Ind.1.Sing.NonPass		gacchāmi	gacchāmi	18341	ato ___ yuddhāya rāmaṃ hanmi sa vānaram	ato gacchāmi yuddhāya rāmaṃ hanmi sa vānaram	jagāma|gacchati|gaccha	3	mcq
77	479348	7024	7	5	57973	ādi	NOUN	Acc.Plur		ādīn	ādīn	15011	dvādaśa ādhyātmikāḥ hitvā rūpa ___ dharma saṃjñakaḥ	dvādaśa ādhyātmikāḥ hitvā rūpa ādīn dharma saṃjñakaḥ	ādayaḥ|ādibhiḥ|ādīnām	3	mcq
87	479358	7024	7	3	57973	ādi	NOUN	Ins.Plur		ādibhiḥ	ādibhiḥ	15011	tribhiḥ ghrāṇa ___ tulya viṣaya grahaṇam matam	tribhiḥ ghrāṇa ādibhiḥ tulya viṣaya grahaṇam matam	ādayaḥ|ādīnām|ādau	3	mcq
118	479389	7034	8	5	57973	ādi	NOUN	Nom.Plur		ādīni	ādīni	15011	manas anya vitti śraddhā ___ aṣṭakaṃ kuśalaṃ dvidhā	manas anya vitti śraddhā ādīni aṣṭakaṃ kuśalaṃ dvidhā	ādibhiḥ|ādīnām|ādau	3	mcq
151	479519	7032	8	5	157766	dṛś	VERB	Pres.Ind.3.Sing.NonPass		paśyati	paśyati	14866	kasmāt na sarvaṃ prāptaṃ ___ añjanam śalākāṃ vā	kasmāt na sarvaṃ prāptaṃ paśyati añjanam śalākāṃ vā	dadarśa|dṛśyate|dadṛśuḥ	3	mcq
177	589919	9741	6	1	157766	dṛś	VERB	Pres.Ind.3.Sing.Pass		dṛśyate	dṛśyate	14866	___ khalu vāhya tve vṛṣasya vṛṣavāhanaḥ	dṛśyate khalu vāhya tve vṛṣasya vṛṣavāhanaḥ	dadarśa|paśyati|dadṛśuḥ	3	mcq
1608	484007	7675	6	1	157766	dṛś	VERB	Past.Ind.3.Sing.NonPass		dadarśa	dadarśa	14866	___ kekayīṃ ruṣṭām uvāca katham īdṛśā	dadarśa kekayīṃ ruṣṭām uvāca katham īdṛśā	dṛśyate|paśyati|dadṛśuḥ	3	mcq
4	479275	7024	10	2	53136	artha	NOUN	Abl.Sing		arthāt	arthāt	13703	tasya ___ asmin samanupraveśāt sa ca āśrayaḥ asya iti abhidharmakośam	tasya arthāt asmin samanupraveśāt sa ca āśrayaḥ asya iti abhidharmakośam	artham|arthaḥ|arthe	3	mcq
27	479298	7024	8	2	53136	artha	NOUN	Nom.Plur		arthāḥ	arthāḥ	13703	indriya ___ te eva iṣṭāḥ daśa āyatana dhātavaḥ	indriya arthāḥ te eva iṣṭāḥ daśa āyatana dhātavaḥ	artham|arthaḥ|arthe	3	mcq
34	479305	7024	7	4	53136	artha	NOUN	Acc.Sing		artham	artham	13703	ṣaṣṭha āśraya prasiddhi ___ dhātavo 'ṣṭādaśa smṛtāḥ	ṣaṣṭha āśraya prasiddhi artham dhātavo 'ṣṭādaśa smṛtāḥ	arthaḥ|arthe|arthāya	3	mcq
1206	555581	8248	8	1	66869	loka	NOUN	Nom.Sing		lokas	lokaḥ	13498	___ tena yathā bhūtam iti matvā tvayā uditam	lokas tena yathā bhūtam iti matvā tvayā uditam	loke|lokam|lokān	3	mcq
1214	555589	8248	9	7	66869	loka	NOUN	Nom.Sing		loko	lokaḥ	13498	na ca utpannaḥ sthito naṣṭa ukto ___ 'rthatas tvayā	na ca utpannaḥ sthito naṣṭa ukto loko 'rthatas tvayā	loke|lokam|lokān	3	mcq
1262	555637	8248	8	6	66869	loka	NOUN	Nom.Sing		lokas	lokaḥ	13498	antavān na antavān ca api ___ tasya prasajyate	antavān na antavān ca api lokas tasya prasajyate	loke|lokam|lokān	3	mcq
594	590353	9744	7	4	57749	ātman	NOUN	Nom.Plur		ātmānaḥ	ātmānaḥ	13409	manas śṛṅgāra saṃkalpa ___ yoniḥ suhṛd madhuḥ	manas śṛṅgāra saṃkalpa ātmānaḥ yoniḥ suhṛd madhuḥ	ātmā|ātmānam|ātmanaḥ	3	mcq
1248	555623	8248	9	1	57749	ātman	NOUN	Gen.Sing		ātmanaś	ātmanaḥ	13409	___ ca pareṣāṃ ca sama tā tena te matā	ātmanaś ca pareṣāṃ ca sama tā tena te matā	ātmā|ātmānam|ātmanā	3	mcq
1299	18144	57	8	3	57749	ātman	NOUN	Nom.Sing		ātmā	ātmā	13409	yathā eva ___ tathā vajraṃ tasmān maulyaṃ samarpayet	yathā eva ātmā tathā vajraṃ tasmān maulyaṃ samarpayet	ātmānam|ātmanaḥ|ātmanā	3	mcq
5	479276	7024	9	1	91970	dharma	NOUN	Gen.Plur		dharmāṇāṃ	dharmāṇām	12450	___ pravicayam antareṇa na asti kleśānāṃ yata upaśāntaye abhyupāyaḥ	dharmāṇāṃ pravicayam antareṇa na asti kleśānāṃ yata upaśāntaye abhyupāyaḥ	dharmaḥ|dharmam|dharmeṇa	3	mcq
7	479278	7024	7	4	91970	dharma	NOUN	Nom.Plur		dharmāḥ	dharmāḥ	12450	sa āsrava anāsravāḥ ___ saṃskṛtā mārga varjitāḥ	sa āsrava anāsravāḥ dharmāḥ saṃskṛtā mārga varjitāḥ	dharmaḥ|dharmam|dharmeṇa	3	mcq
13	479284	7024	8	4	91970	dharma	NOUN	Nom.Plur		dharmā	dharmāḥ	12450	te punaḥ saṃskṛtā ___ rūpa ādi skandha pañcakam	te punaḥ saṃskṛtā dharmā rūpa ādi skandha pañcakam	dharmaḥ|dharmam|dharmeṇa	3	mcq
478	590236	9744	8	1	63463	indra	NOUN	Nom.Sing		indro	indraḥ	12172	___ hariḥ duścyavanaḥ 'cyutāgrajo vajrī viḍaujā maghavā puraṃdaraḥ	indro hariḥ duścyavanaḥ 'cyutāgrajo vajrī viḍaujā maghavā puraṃdaraḥ	indra|indram|indraiḥ	3	mcq
1876	484275	7681	6	1	63463	indra	NOUN	Nom.Sing		indro	indraḥ	12172	___ 'rcito amṛta vṛṣṭyā jīvayāmāsa vānarān	indro 'rcito amṛta vṛṣṭyā jīvayāmāsa vānarān	indra|indram|indraiḥ	3	mcq
1900	484299	7683	8	1	63463	indra	NOUN	Acc.Sing		indraṃ	indram	12172	___ jitvā indrajit ca abhūt rāvaṇāt adhikaḥ balī	indraṃ jitvā indrajit ca abhūt rāvaṇāt adhikaḥ balī	indraḥ|indra|indraiḥ	3	mcq
1565	483964	7673	8	1	157372	dā	VERB	Past.Ind.3.Sing.NonPass		dadau	dadau	11970	___ rāmāya rāmo 'pi pitṛ ādau hi samāgate	dadau rāmāya rāmo 'pi pitṛ ādau hi samāgate	dadyāt|dadāti|dehi	3	mcq
1822	484221	7681	6	1	157372	dā	VERB	Pres.Imp.3.Sing.Pass		dīyatāṃ	dīyatām	11970	___ rāghavāya āśu anyathā tvaṃ mariṣyasi	dīyatāṃ rāghavāya āśu anyathā tvaṃ mariṣyasi	dadyāt|dadāti|dadau	3	mcq
2301	484700	7692	6	1	157372	dā	VERB	Past.Ind.3.Sing.NonPass		dadau	dadau	11970	___ sa daśa dharmāya kaśyapāya trayodaśa	dadau sa daśa dharmāya kaśyapāya trayodaśa	dadyāt|dadāti|dehi	3	mcq
1651	484050	7675	7	1	144475	putra	NOUN	Acc.Sing		putraṃ	putram	11750	___ vinā mariṣyāvas tvaṃ ca śokāt mariṣyasi	putraṃ vinā mariṣyāvas tvaṃ ca śokāt mariṣyasi	putraḥ|putrāḥ|putrān	3	mcq
1652	484051	7675	7	1	144475	putra	NOUN	Acc.Sing		putraṃ	putram	11750	___ vinā smaran śokāt kauśalye maraṇaṃ mama	putraṃ vinā smaran śokāt kauśalye maraṇaṃ mama	putraḥ|putrāḥ|putrān	3	mcq
1789	484188	7680	8	1	144475	putra	NOUN	Acc.Sing		putram	putram	11750	___ akṣam kumāraṃ ca śakrajit ca babandha tam	putram akṣam kumāraṃ ca śakrajit ca babandha tam	putraḥ|putrāḥ|putrān	3	mcq
38	479309	7024	10	2	163754	tva	NOUN	Loc.Sing		tve	tve	10850	dvi ___ api cakṣus ādīnām śobhā artham tu dvaya udbhavaḥ	dvi tve api cakṣus ādīnām śobhā artham tu dvaya udbhavaḥ	tvāt|tvam|tvena	3	mcq
41	479312	7024	7	5	163754	tva	NOUN	Abl.Sing		tvāt	tvāt	10850	vivāda mūla saṃsāra hetu ___ krama kāraṇāt	vivāda mūla saṃsāra hetu tvāt krama kāraṇāt	tvam|tvena|tve	3	mcq
89	479360	7024	7	4	163754	tva	NOUN	Abl.Sing		tvāt	tvāt	10850	tad vikāra vikāri ___ āśrayāś cakṣus ādayaḥ	tad vikāra vikāri tvāt āśrayāś cakṣus ādayaḥ	tvam|tvena|tve	3	mcq
1385	483784	7592	9	3	157409	śru	VERB	Pres.Imp.2.Sing.NonPass		śṛṇu	śṛṇu	10505	śuka ādyaiḥ ___ sūta tvaṃ vaśiṣṭho māṃ yathā abravīt	śuka ādyaiḥ śṛṇu sūta tvaṃ vaśiṣṭho māṃ yathā abravīt	śrūyate|śrūyatām|śṛṇoti	3	mcq
1446	483845	7669	8	1	157409	śru	VERB	Past.Ind.3.Sing.NonPass		śuśrāva	śuśrāva	10505	___ matsyāt pāpa ghnam saṃstuvan stutibhiś ca taṃ	śuśrāva matsyāt pāpa ghnam saṃstuvan stutibhiś ca taṃ	śṛṇu|śrūyate|śrūyatām	3	mcq
3447	749375	15214	10	2	157409	śru	VERB	Pres.Sub.3.Sing.NonPass		śṛṇavac	śṛṇavat	10505	ubhayaṃ ___ ca na iti saptamīṃ ca aṣṭamīm ca uddharati	ubhayaṃ śṛṇavac ca na iti saptamīṃ ca aṣṭamīm ca uddharati	śṛṇu|śrūyate|śrūyatām	3	mcq
1102	506321	7430	7	3	69571	rasa	NOUN	Loc.Sing		rase	rase	10073	aśodhite dhātu ___ jīvana antam na saṃśayaḥ	aśodhite dhātu rase jīvana antam na saṃśayaḥ	rasaḥ|rasam|raseṇa	3	mcq
1152	506371	7430	6	4	69571	rasa	NOUN	Ins.Plur		rasaiḥ	rasaiḥ	10073	nirdravaṃ marditaḥ pattra ___ bhaved rasaḥ	nirdravaṃ marditaḥ pattra rasaiḥ bhaved rasaḥ	rasaḥ|rasam|raseṇa	3	mcq
8214	75372	488	9	4	69571	rasa	NOUN	Nom.Plur		rasāḥ	rasāḥ	10073	tikto amlaḥ ca ___ puṃsi tadvatsu ṣaṣ amī triṣu	tikto amlaḥ ca rasāḥ puṃsi tadvatsu ṣaṣ amī triṣu	rasaḥ|rasam|raseṇa	3	mcq
2188	484587	7689	7	3	12243	karman	NOUN	Acc.Sing		karma	karma	9938	naraka arham ___ cakruḥ grahīṣyanti adhamāt api	naraka arham karma cakruḥ grahīṣyanti adhamāt api	karmaṇā|karmaṇi|karmāṇi	3	mcq
3070	748990_11	15089	8	3	12243	karman	NOUN	Nom.Sing		karma	karma	9938	tat idam ___ kṛtam ayam puruṣaḥ brahmaṇaḥ lokaḥ	tat idam karma kṛtam ayam puruṣaḥ brahmaṇaḥ lokaḥ	karmaṇā|karmaṇi|karmāṇi	3	mcq
3626	650082_1	10839	5	4	12243	karman	NOUN	Acc.Sing		karma	karma	9938	pratnam iti pūrvam ___ abhivadati	pratnam iti pūrvam karma abhivadati	karmaṇā|karmaṇi|karmāṇi	3	mcq
863	506082	7429	7	3	157262	brū	VERB	Pres.Opt.3.Sing.NonPass		brūyāt	brūyāt	9781	vinā yo ___ tam āhuḥ brahma ghātakaḥ	vinā yo brūyāt tam āhuḥ brahma ghātakaḥ	abravīt|brūhi|abruvan	3	mcq
1429	483828	7669	8	3	157262	brū	VERB	Impf.Ind.3.Sing.NonPass		abravīt	abravīt	9781	tatra vṛddho ___ bhūpam pṛthu dehi padaṃ mano	tatra vṛddho abravīt bhūpam pṛthu dehi padaṃ mano	brūyāt|brūhi|abruvan	3	mcq
1620	484019	7675	8	4	157262	brū	VERB	Pres.Ind.2.Sing.NonPass		bravīṣi	bravīṣi	9781	yat mām evam ___ tvaṃ sarva loka apriyaṃkare	yat mām evam bravīṣi tvaṃ sarva loka apriyaṃkare	abravīt|brūyāt|brūhi	3	mcq
1484	483883	7670	10	3	156124	ah	VERB	Past.Ind.3.Sing.NonPass		āha	āha	9447	tathā iti ___ atha taṃ viṣṇus tataḥ sarvaiḥ saha amaraiḥ	tathā iti āha atha taṃ viṣṇus tataḥ sarvaiḥ saha amaraiḥ	āhuḥ|āttha|āhatuḥ	3	mcq
1698	484097	7676	10	3	156124	ah	VERB	Past.Ind.3.Sing.NonPass		āha	āha	9447	tathā iti ___ ca tac chrutvā mārīcaṃ prāha vai vraja	tathā iti āha ca tac chrutvā mārīcaṃ prāha vai vraja	āhuḥ|āttha|āhatuḥ	3	mcq
2004	484403	7684	9	2	156124	ah	VERB	Past.Ind.3.Sing.NonPass		āha	āha	9447	tām ___ gaurī bhartā te niśi suptā iti darśanāt	tām āha gaurī bhartā te niśi suptā iti darśanāt	āhuḥ|āttha|āhatuḥ	3	mcq
4467	650493_8	10950	8	2	158058	vid	VERB	Past.Ind.3.Plur.NonPass		aviduḥ	aviduḥ	9391	te ___ anena vai devāḥ yajñam ayūyupan iti	te aviduḥ anena vai devāḥ yajñam ayūyupan iti	veda|vidyāt|vidyate	3	mcq
4821	650673_7	11105	9	2	158058	vid	VERB	Past.Ind.3.Plur.NonPass		viduḥ	viduḥ	9391	te ___ iyān vāva kila paśuḥ yāvatī vapā iti	te viduḥ iyān vāva kila paśuḥ yāvatī vapā iti	veda|vidyāt|vidyate	3	mcq
7402	652780_3	12161	5	4	158058	vid	VERB	Past.Ind.2.Sing.NonPass		vettha	vettha	9391	yaḥ tvam katham ___ brahmabandho	yaḥ tvam katham vettha brahmabandho	veda|vidyāt|viduḥ	3	mcq
3035	748965	15061	10	3	157340	sthā	VERB	Past.Ind.3.Sing.NonPass		tasthau	tasthau	9268	bṛhat ha ___ bhuvaneṣv antaḥ pavamāno harita ā viveśa iti	bṛhat ha tasthau bhuvaneṣv antaḥ pavamāno harita ā viveśa iti	tiṣṭhati|tiṣṭha|tiṣṭhanti	3	mcq
4512	650520_2	10955	8	1	157340	sthā	VERB	Pres.Imp.2.Sing.NonPass		tiṣṭha	tiṣṭha	9268	___ devaḥ iva savitā iti eva tat āha	tiṣṭha devaḥ iva savitā iti eva tat āha	tiṣṭhati|tasthau|tiṣṭhanti	3	mcq
4552	650539_1	10967	5	1	157340	sthā	VERB	Pres.Opt.3.Sing.NonPass		tiṣṭhet	tiṣṭhet	9268	___ yūpaḥ anupraharet iti āhuḥ	tiṣṭhet yūpaḥ anupraharet iti āhuḥ	tiṣṭhati|tiṣṭha|tasthau	3	mcq
1122	506341	7430	5	2	156584	jan	VERB	Pres.Ind.3.Sing.NonPass		jāyate	jāyate	9247	viśuddho ___ sūtaḥ tataḥ karmaṇi	viśuddho jāyate sūtaḥ tataḥ karmaṇi	jajñe|jāyante|ajāyata	3	mcq
1181	555556	8248	8	3	156584	jan	VERB	Pres.Ind.3.Sing.NonPass		jāyate	jāyate	9247	svasmān na ___ bhāvaḥ parasmān na ubhayāt api	svasmān na jāyate bhāvaḥ parasmān na ubhayāt api	jajñe|jāyante|ajāyata	3	mcq
2225	484624	7691	8	2	156584	jan	VERB	Past.Ind.3.Sing.NonPass		jajñe	jajñe	9247	tasmin ___ svayaṃ brahmā svayambhuḥ iti naḥ śrutam	tasmin jajñe svayaṃ brahmā svayambhuḥ iti naḥ śrutam	jāyate|jāyante|ajāyata	3	mcq
17	479288	7024	9	1	71929	rūpa	NOUN	Nom.Sing		rūpaṃ	rūpam	8869	___ pañca indriyāṇi arthāḥ pañca a vijñaptiḥ eva ca	rūpaṃ pañca indriyāṇi arthāḥ pañca a vijñaptiḥ eva ca	rūpeṇa|rūpāḥ|rūpāṇi	3	mcq
19	479290	7024	7	1	71929	rūpa	NOUN	Nom.Sing		rūpaṃ	rūpam	8869	___ dvidhā viṃśatidhā śabdaḥ tu aṣṭavidhaḥ rasaḥ	rūpaṃ dvidhā viṃśatidhā śabdaḥ tu aṣṭavidhaḥ rasaḥ	rūpeṇa|rūpāḥ|rūpāṇi	3	mcq
59	479330	7024	7	6	71929	rūpa	NOUN	Loc.Sing		rūpe	rūpe	8869	tridhā anye kāmadhātu āptāḥ sarve ___ caturdaśa	tridhā anye kāmadhātu āptāḥ sarve rūpe caturdaśa	rūpam|rūpeṇa|rūpaḥ	3	mcq
13209	646200	11121	7	2	157282	han	VERB	Pres.Ind.2.Sing.NonPass		haṁsy	haṃsi	8744	yadi ___ aśvaṃ yadi gāṃ yadi pūruṣam	yadi haṁsy aśvaṃ yadi gāṃ yadi pūruṣam	hanti|jaghāna|jahi	3	mcq
13935	646871_1	13151	5	2	157282	han	VERB	Pres.Imp.2.Sing.NonPass		jahi	jahi	8744	śatam ___ apsarasām śatam śvanvatīnām	śatam jahi apsarasām śatam śvanvatīnām	hanti|jaghāna|hanyāt	3	mcq
14821	647694	14626	6	1	157282	han	VERB	Pres.Imp.2.Sing.NonPass		jahi	jahi	8744	___ jyeṣṭham adṛṣṭānāṃ sarpāṇāṃ mogha cāriṇām	jahi jyeṣṭham adṛṣṭānāṃ sarpāṇāṃ mogha cāriṇām	hanti|jaghāna|hanyāt	3	mcq
2703	748696	14923	11	1	72936	yajña	NOUN	Acc.Sing		yajñaṃ	yajñam	8205	___ vaṣṭv iti yad āha yajñaṃ vahatv ity eva tad āha	yajñaṃ vaṣṭv iti yad āha yajñaṃ vahatv ity eva tad āha	yajñaḥ|yajñasya|yajñe	3	mcq
3204	749123	15134	10	3	72936	yajña	NOUN	Nom.Sing		yajñaḥ	yajñaḥ	8205	sa eṣa ___ pañcavidho 'gnihotraṃ darśa pūrṇamāsau cāturmāsyāni paśuḥ somaḥ	sa eṣa yajñaḥ pañcavidho 'gnihotraṃ darśa pūrṇamāsau cāturmāsyāni paśuḥ somaḥ	yajñam|yajñasya|yajñe	3	mcq
3545	650038_1	10828	10	3	72936	yajña	NOUN	Gen.Sing		yajñasya	yajñasya	8205	ete vai ___ antye tanvau yat agniḥ ca viṣṇuḥ ca	ete vai yajñasya antye tanvau yat agniḥ ca viṣṇuḥ ca	yajñaḥ|yajñam|yajñe	3	mcq
799	590558	9744	7	1	94899	pitṛ	NOUN	Nom.Sing		pitā	pitā	8158	___ tu āvukaḥ āvutta bhāvukau bhaginī patau	pitā tu āvukaḥ āvutta bhāvukau bhaginī patau	pituḥ|pitaraḥ|pitaram	3	mcq
1534	483933	7672	6	1	94899	pitṛ	NOUN	Acc.Sing		pitaraṃ	pitaram	8158	___ nihataṃ dṛṣṭvā pitṛ nāśa abhimarṣitaḥ	pitaraṃ nihataṃ dṛṣṭvā pitṛ nāśa abhimarṣitaḥ	pitā|pituḥ|pitaraḥ	3	mcq
1553	483952	7673	8	8	94899	pitṛ	NOUN	Abl.Sing		pituḥ	pituḥ	8158	prāśitāt yajña saṃsiddhāt rāma ādyāḥ ca samāḥ ___	prāśitāt yajña saṃsiddhāt rāma ādyāḥ ca samāḥ pituḥ	pitā|pitaraḥ|pitaram	3	mcq
390	590148	9744	5	1	22761	kāla	NOUN	Nom.Sing		kālo	kālaḥ	8154	___ dvividho avasarpiṇī utsarpiṇī vibhedāt	kālo dvividho avasarpiṇī utsarpiṇī vibhedāt	kāle|kālam|kālena	3	mcq
418	590176	9744	8	2	22761	kāla	NOUN	Nom.Sing		kālaḥ	kālaḥ	8154	śrāddha ___ tu kutapo 'ṣṭamo bhāgo dinasya yaḥ	śrāddha kālaḥ tu kutapo 'ṣṭamo bhāgo dinasya yaḥ	kāle|kālam|kālena	3	mcq
460	590218	9744	9	2	22761	kāla	NOUN	Nom.Sing		kālaḥ	kālaḥ	8154	tad ___ tu tadātvaṃ syāt tad jam sāṃdṛṣṭikaṃ phalam	tad kālaḥ tu tadātvaṃ syāt tad jam sāṃdṛṣṭikaṃ phalam	kāle|kālam|kālena	3	mcq
9419	76577	491	8	2	154315	bala	NOUN	Ins.Plur		balaiḥ	balaiḥ	7854	sa ___ taiḥ caturbhadram janyāḥ snigdhāḥ varasya ye	sa balaiḥ taiḥ caturbhadram janyāḥ snigdhāḥ varasya ye	balam|balaḥ|balāt	3	mcq
9453	76611	491	8	7	154315	bala	NOUN	Nom.Plur		balāni	balāni	7854	svāmi amātya suhṛd kośa rāṣṭra durga ___ ca	svāmi amātya suhṛd kośa rāṣṭra durga balāni ca	balam|balaḥ|balāt	3	mcq
16095	648896	17232	9	3	154315	bala	NOUN	Acc.Sing		balaṃ	balam	7854	ava tasya ___ tira mahī iva dyaur vadha tmanā	ava tasya balaṃ tira mahī iva dyaur vadha tmanā	balaḥ|balāt|balena	3	mcq
86	479357	7024	8	3	36096	manas	NOUN	Nom.Sing		manaḥ	manaḥ	7226	cakṣuḥ śrotra ___ a prāpta viṣayam trayam anyathā	cakṣuḥ śrotra manaḥ a prāpta viṣayam trayam anyathā	manasā|manasaḥ|manasi	3	mcq
