key	verdict	locus	note
conjugation-overview:26	AGREE	раздел «Классы презенса» (L333)	«в презенсе, футуруме... в имперфекте, плюсквамперфекте [вед.], аористе» + разделы Аорист/Перфект/Футурум; ремарка о DCS — вне источника.
conjugation-overview:27	AGREE	раздел «Перфект» (L377–391)	Есть все: оптатив, императив (‑tu/‑dhi), «Инъюнктив», «Прекатив», «Кондиционалис»; конъюнктив — только ведийский (L527).
conjugation-overview:28	AGREE	раздел «Перфект», Пассив (L389)	Act./Med. во всех таблицах + «Пассив (только система презенса)... спрягается в Med.» — три залога.
imperfect:19	AGREE	раздел «Классы презенса» (L335)	«Имперфект: аугмент a‑ + основа презенса, окончания вторичные» — формула та же.
imperfect:21	SILENT	—	Семантику имперфекта (нарратив, продвижение сюжета) не обсуждает — только морфологию (искал: нарратив-, повеств-, прошедш-).
imperfect:76	AGREE	раздел «Морфонология» (L147)	«аугмент а‑... сливается с последующими... в ai, au, ār» (= вриддхи); «AS быть 2 (имперф. āsīt)» — ās из a+as.
imperfect:77	AGREE	раздел «Спряжение» (L270–294)	Вторичный столбец: «‑am, + [V]‑m», «‑s», «‑t», «‑va», «‑tam», «‑tām», «‑ma», «‑ta», «‑an» (‑s = ‑ḥ в паузе).
imperfect:78	AGREE	раздел «Классы презенса» (L335) и «Важнейшие корни» (L448)	«a‑kar‑av‑am 'я делал'» (кл. 8 karo‑), «BHŪ... 1», «BRŪ говорить 2 (bravīti)» — классы и основы совпадают.
imperative-optative:19	AGREE	раздел «Перфект» (L385–387)	Имп. и опт. — единственные полнопарадигменные; «Инъюнктив... Важнейшая функция: запрещение», прекатив «≈ оптатив», конъюнктива в эпосе нет.
imperative-optative:89	AGREE	раздел «Спряжение» (L270–287)	Императивный столбец: 2 sg «‑dhi, [V] ‑hi || ‑», 3 sg «‑tu», 2 pl «‑ta» на основе презенса; функции (приказ/просьба) не описаны.
imperative-optative:92	AGREE	раздел «Перфект», Оптатив (L377)	«+ yā / ī..., окончания вторичные»; bhavet = bhava+ī → e; нюанс: в Med. атематич. у Z. ‑ī‑ (chindīta), не yā.
imperative-optative:93	SILENT	—	Функций оптатива (предписание, правило шастры) нет — лишь глосса «пусть я буду» (искал: следует, предписан-, шастр-).
imperative-optative:57	SILENT	—	Форма 3 sg ‑tu в таблице есть, но функции (юссив) и astu не даны; глоссой 'пусть' Z. снабжает оптатив (искал: astu, пусть).
perfect:14	AGREE	раздел «Перфект» (L357, L391)	«Формула основы: удвоит. слог + корень»; «Описательный перфект (заменяет... в производных спряжениях...)... + ām в сочетании с āsa».
perfect:16	DISAGREE	раздел «Перфект» (L365)	Z. прямо: «У vid 'знать' перфект без удвоения: veda» — veda у него исключение из редупликации, а не её пример.
perfect:105	AGREE	раздел «Аорист» (L339) и «Перфект» (L357)	Перфект — «удвоит. слог + корень», без аугмента; аорист — «аугмент a‑ + основа аориста»; диагностика следует прямо.
perfect:100	AGREE	раздел «Аорист» (L345)	«3 sg act ajījanat... (обычно это аорист каузатива)» — аугмент + редупликация = аорист; avīvṛdhan/abhyapaptat не названы, DCS вне текста.
perfect:101	SILENT	—	Формы adadat нет; ред. аорист у Z. — ajījanat, adīdṛçat, аорист от dā не приведён (искал: adadat, DĀ, тип 3).
perfect:118	AGREE	раздел «Перфект» (L391)	«+ ām в сочетании с āsa или cakara (перфект от as 'быть' или kar 'делать')» — as и kṛ есть; bhū и доминирование as не отмечены.
perfect:124	AGREE	раздел «Перфект» (L391) и «Словообразование» (L413)	«заменяет простой перфект в производных спряжениях»; у каузатива прямо «перфект --- описательный»; класс у Z. шире (+ тяжёлые корни).
perfect:134	AGREE	раздел «Классы презенса» (L314)	«3 удвоит. слог + g / ø: dadā‑mi 'даю' / dad‑ati»; «BHAR... 1, 3», «HU... 3» — bibharti, juhoti того же класса.
aorist:19	AGREE	раздел «Аорист» (L339)	Третий претерит, самый многотипный; «Основные типы аориста (прочие крайне редки)» — но основных у Z. пять, семь не перечислены.
aorist:84	AGREE	раздел «Аорист» (L341–353)	Корневой, тематический, ред. «(обычно это аорист каузатива)», s‑ (ajaiṣīt), iṣ‑ («apāvīt»); sa‑/siṣ‑ покрыты лишь «прочие крайне редки».
aorist:108	AGREE	раздел «Аорист» (L343)	«Простой тематический --- строится как имперфект класса 6» — прямо; параллели ред. аориста с имперфектом III класса у Z. нет.
aorist-types:19	AGREE	раздел «Аорист» (L339)	«Основные типы аориста (прочие крайне редки)» — несколько параллельных типов (у имперфекта/перфекта по одному); основных пять, не семь.
aorist-types:61	SILENT	—	Классификация Уитни; З. даёт 5 осн. типов («прочие крайне редки»), два зовёт сигматическими, но бипартиции и типов sa/siṣ нет; Уитни не цитируется.
aorist-types:89	AGREE	раздел «Аорист» (L339–353)	«аугмент a‑ + основа аориста, окончания вторичные»; удвоенный — «обычно это аорист каузатива»; ī в 2–3 sg s‑аориста есть; sa/siṣ не описаны.
aorist-types:63	SILENT	—	Искал: суплетив, AS/BHŪ, abhūt — AS 'быть' и BHŪ 'становиться, быть' даны порознь (L448), суплетивность не обсуждается.
future:23	AGREE	раздел «Перфект» (L379)	Футурум: «g‑sya‑ (или ‑iṣya‑), окончания первичные --- dāsyati 'даст', bhaviṣyati» — guṇa + sya/iṣya + первичные окончания.
future:24	AGREE	раздел «Перфект» (L383)	Футурум 2: «имя деятеля на ‑tar‑ (в N) + связка as 'быть' (кроме 3‑го лица, где без связки)»; dātā — ср. bhavitā/kartā.
future:26	SILENT	—	Искал: значение футурума 2, «отдалённое», «неизбежное» — дана только форма (L383), семантика не охарактеризована.
future:28	AGREE	раздел «Перфект» (L381)	«Кондиционалис --- по форме это имперфект футурума: adāsyam 'я дал бы'» = аугмент + основа на ‑sya‑ + вторичные окончания (L333).
ta-na-participles:19	AGREE	раздел «Перфект» (L395)	«Претеритное причастие (обычно страдат. у переходных глаголов…): ø‑ta‑»; про склонение по ‑a/‑ā отдельно не сказано, основы на ‑a‑ подразумеваются.
ta-na-participles:20	AGREE	раздел «Перфект» (L395)	«действит. у непереходных» — ср. bhūta‑ 'бывший, ставший'; перифрастич. употребление прямо не описано (лишь «конструкция с пассивным причастием», L549).
ta-na-participles:26	AGREE	раздел «Перфект» (L395)	«у большинства корней на d (типа aniṭ) и открытых корней ряда R₂ … ø‑na‑»; chinna‑, pūrṇa‑; ‑ta — общий случай.
ta-na-participles:28	AGREE	раздел «Морфонология» (L135–137)	«bh, dh, gh + t(h) → соответственно bdh, ddh, gdh»; «h₂ + t(h) → ḍh» с u→ū (ср. rūḍha); даны как общие внутренние сандхи, не только при ‑ta.
ta-na-participles:84	AGREE	раздел «Перфект» (L395)	«ø‑ta‑ (или ‑ita‑)», где ø — «корень в слабой ступени» (L66); ср. bhūta‑, chinna‑.
present-perfect-participles:19	SILENT	—	Искал: определение причастия, залог/время, именная форма — общего определения нет, даны только конкретные формы и их склонение.
present-perfect-participles:102	AGREE	раздел «Спряжение» (L298–301)	«‑ant‑ (‑at‑*)», f «‑atī || ‑ntī» (= ‑antī/‑atī); склонение по согласным основам — pacan/pacantam/pacatā/pacadbhis (L228, «Склонение»).
present-perfect-participles:103	AGREE	раздел «Спряжение» (L298)	«‑āna‑ || ‑māna‑» — после || вариант тематического спряжения (L267): ‑māna темат., ‑āna атемат.
present-perfect-participles:104	AGREE	раздел «Перфект» (L389)	«Пассив (только система презенса): ø‑ya‑ …; спрягается в Med.» + мед. прич. «‑āna‑ || ‑māna‑» (L298); сама форма kriyamāṇa не приведена, следует из правил.
present-perfect-participles:105	AGREE	раздел «Спряжение» (L298; тж. L229)	«‑vaṁs‑», f «‑uṣī‑»; «vidvān … vidvāṁsam … viduṣā (‑uṣ‑)» (L229, «Склонение»); медий перфекта — атематическое «‑āna‑».
present-perfect-participles:107	SILENT	—	Искал: одновременность, состояние по совершённому действию — семантика причастий не обсуждается.
gerundive:19	AGREE	раздел «Перфект» (L401)	«dātavya‑ и deya‑ 'подлежащий отдаче'», «который нужно расколоть» — необходимость + пассивность; агент в I. и склонение по ‑a не оговорены.
gerundive:93	AGREE	раздел «Перфект» (L401)	«g‑tavya‑ (или ‑itavya‑), g‑anīya‑, v/g‑ya‑» — те же три суффикса; термин у З. «герундивы», не future passive participle.
gerundive:94	AGREE	раздел «Перфект» (L401)	«v/g‑ya‑» (guṇa или vṛddhi по типу корня); примеры kārya‑, deya‑ — ср. kṛ→kārya, ji→jeya.
gerundive:95	AGREE	раздел «Перфект» (L393, 401)	Формулы тождественны: «g‑tavya‑ (или ‑itavya‑)» и «g‑tum (или ‑itum)»; kartavya‑ есть; тождество основ следует из формул, прямо не сформулировано.
gerundive:96	SILENT	—	Суффикс «g‑anīya‑» и karaṇīya‑ есть (L401), но деривация через имя действия на ‑ana + ‑īya не обсуждается; искал: ‑ana, ‑īya.
gerundive:97	AGREE	раздел «Перфект» (L401)	Одинаковые глоссы: «dātavya‑ и deya‑ 'подлежащий отдаче'», «kārya‑ и kṛtya‑ 'который предстоит сделать'»; стилистич./метрич. выбор не обсуждается.
infinitive:19	AGREE	раздел «Перфект» (L393)	«Инфинитив: g‑tum (или ‑itum) --- dātum, chettum, bhavitum. (В ведах есть и другие.)»; падежное происхождение и модальное управление не даны.
infinitive:95	DISAGREE	раздел «Перфект» (L393–395)	С ‑tavya основа та же (g‑tum / g‑tavya‑), но причастие — слабая ступень: «ø‑ta‑» против «g‑tum»; ср. bhavitum/bhūta‑, chettum/chinna‑.
infinitive:98	SILENT	—	Искал: ‑tave, ‑dhyai, ‑toḥ, падежные формы — лишь «(В ведах есть и другие.)» (L393) и вед. «типы инфинитива» как свободные варианты (L491).
absolutive:19	AGREE	раздел «Перфект» (L399)	«Деепричастие: … bhūtvā 'будучи', … vi‑jitya 'завоевав'» — термин и глоссы передают несклоняемость и предшествование при одном субъекте.
absolutive:25	AGREE	раздел «Перфект» (L399)	«у глаголов без преверба ø‑tvā (или ‑itvā), с превербом ø‑ya (после краткой гласной ‑tya)».
absolutive:82	AGREE	раздел «Перфект» (L399)	«ø‑tvā», где ø — слабая ступень (L66): bhūtvā, uktvā, chittvā — ср. kṛtvā, gatvā.
absolutive:84	SILENT	—	Искал: ‑am, ведийский абсолютив, деепричастие — только ‑tvā/‑ya/‑tya (L399), тип на ‑am не упомянут.
absolutive:107	SILENT	—	Корпусная статистика DCS (523/1289) — вне конспекта; у З. лишь само правило распределения tvā/ya (L399).
passive:19	AGREE	раздел «Перфект» (L389)	«Пассив (только система презенса): ø‑ya‑ …; спрягается в Med. --- … ucyate 'говорится'»; акцент не обозначается; рубрики «вторичное спряжение» нет.
passive:26	AGREE	раздел «Перфект» (L389)	«ø‑ya‑ (т.е. как в 4‑м классе презенса)» — формальное совпадение с классом IV утверждено прямо; различение по акценту не обсуждается.
passive:106	AGREE	раздел «Перфект» (L389)	«Пассив (только система презенса)» — вне ‑ya‑ особой пассивной формы нет; DCS-тег вне конспекта; отдельно вед. пассивный аорист 3 sg на ‑i (L523).
causative:14	AGREE	раздел «Словообразование» (L413)	«Каузатив: v/g‑aya‑ --- bodhayati 'будит', kārayati 'заставляет делать'» — в «производных спряжениях», усиление v/g + ‑aya‑, значение понуждения.
causative:113	AGREE	раздел «Словообразование» (L413)	«bodhayati 'будит', kārayati 'заставляет делать'»; darśaya/gamaya не приводятся; gamaya без усиления формулой v/g не покрыт (ср. «и некоторые др.»).
causative:114	AGREE	раздел «Словообразование» (L413)	«После корней на ā вставляется p, напр. sthāpayati от sthā» — у З. класс корней на ā, а не «долгий гласный» вообще.
causative:115	AGREE	раздел «Классы презенса» (L325–328)	«10 g‑aya‑ --- coraya‑ti» с отсылкой к «Каузативам» в производных спряжениях — совпадение признано; неоднозначность обратного разбора не эксплицирована.
causative:151	AGREE	раздел «Словообразование» (L419)	«Деноминатив: именная основа (минус ‑a‑) + ‑aya‑ --- mṛgayate» — отдельная рубрика, не класс 10.
causative:32	SILENT	—	Искал: залог/Med. при каузативе — не оговорено; примеры активные (bodhayati), упомянут лишь пассив bodhyate (L413).
word-structure-overview:25	SILENT	—	Искал: dhātu, aṅga, «четыре способа», samāsa как схема — послойной модели и этих терминов нет; материал дан без такой рамки.
word-structure-overview:30	SILENT	—	Утверждение о тексте Уитни; в конспекте Уитни нигде не цитируется (единственная внешняя отсылка — Кочергина, L623).
word-structure-overview:83	SILENT	—	Искал: bhvādi, класс 1, проценты/преобладание — классы указаны при корнях (L448), но статистики долей и тезиса о преобладании нет.
word-structure-overview:28	AGREE	раздел «Словообразование» (L405–409)	Термина kṛt нет, но суть дана: от корня — «Имена действия: g‑a‑ (m) … g‑ana‑ (n) … ø‑ti‑», имена деятеля/орудия, прич. (L395), дееприч. (L399).
krt-overview:19	AGREE	раздел «Словообразование» (L407)	«g‑tar‑ (или ‑itar‑) --- janitar‑ 'родитель', dātar‑»; ср. ø‑tvā (kṛtvā), g‑tum (kartum), g‑aka‑ (bodhaka‑); термин kṛt не употребляется.
krt-overview:34	SILENT	—	Ссылка на текст Уитни; конспект Уитни не цитирует (искал: Уитни, Whitney, §§).
krt-overview:61	AGREE	раздел «Перфект» (L399)	«без преверба ø‑tvā (или ‑itvā), с превербом ø‑ya».
krt-overview:62	AGREE	раздел «Перфект» (L401)	«Герундивы: g‑tavya‑ (или ‑itavya‑), g‑anīya‑, v/g‑ya‑».
krt-overview:63	AGREE	раздел «Перфект» (L393)	«Инфинитив: g‑tum (или ‑itum) --- dātum, chettum, bhavitum».
krt-overview:67	SILENT	—	О разметке DCS (тег времени); сами причастия на ‑ta/‑na у З. есть (L395), корпусных категорий нет.
krt-suffixes:14	SILENT	—	Утверждение о §§ Уитни; У. не цитируется; сами суффиксы (g‑a, g‑ana, ø‑ti, g‑tar, g‑in) есть в «Словообразовании» (L405–407).
krt-suffixes:96	AGREE	раздел «Словообразование» (L407, 424)	Девербатив «g‑in‑ … vādin‑ 'говорящий'» и отыменное «balin‑ 'сильный' от bala‑» даны как разные образования; ‑vin и проблема ‑in$ отсутствуют.
krt-suffixes:155	SILENT	—	Искал: jana, членение ‑a/‑ana — не обсуждается; g‑a‑ и g‑ana‑ даны как отдельные суффиксы (L405), от JAN приведено лишь janman‑.
krt-suffixes:147	AGREE	раздел «Словообразование» (L405)	«ø‑ti‑ (f) --- pluti‑» + слабая ступень ряда M₁ = a (L56): gam→ga‑ti; сама форма gati не цитируется, но следует из правил.
taddhita-overview:19	AGREE	раздел «Словообразование» (L423–428)	«Отыменные прилагательные», «Патронимы (всегда с vṛddhi первого слога)», «amṛtatva‑ 'бессмертие'» — вторичная деривация от именных основ; термина taddhita и ‑maya нет.
taddhita-overview:200	AGREE	раздел «Словообразование» (L423–432)	«‑a‑, ‑ya‑, ‑eya‑, ‑īya‑, ‑ka‑, ‑aka‑, ‑ika‑, ‑in‑, ‑vant‑, ‑mant‑» + ‑tā/‑tva (L428), ‑tara/‑tama (L430), уменьш. ‑ka (L432); ‑maya и ‑vin отсутствуют.
taddhita-overview:205	AGREE	раздел «Словообразование» (L424–428)	‑ya в трёх функциях: daivya‑ (относит.), «Патронимы … ‑ya‑» с vṛddhi, «vaidhavya‑ 'вдовство'» (отвлеч.); Уитни не цитируется.
taddhita-overview:144	AGREE	раздел «Словообразование» (L407, L423)	Оба -in в инвентаре: «g‑in‑ … vādin‑ 'говорящий'» (kṛt) и «balin‑ 'сильный' от bala‑» (L424); оба -ya: герундив kārya (L401), daivya/патронимы (L423, L426). Сама омонимия не комментируется.
preverbs:19	AGREE	раздел «Превербы» (L452)	Список превербов с их значениями: «Ā к, сюда, при‑; UD вверх, наружу, вз‑, вы‑»; термина upasarga нет, «радикальность» сдвига не обсуждается.
preverbs:99	SILENT	—	Утверждение о тексте Уитни; З. Уитни не цитирует. Сам он даёт 19 превербов, включая antar (L452), а su/dus относит к именным префиксам (L454).
preverbs:104	AGREE	раздел «Особенности ведийского языка» (L551)	О тмесисе: «свободно располагаются до или после глагола… в отдалении от него»; стопка sam+ā и лексикализация прямо не разобраны.
compounds-overview:24	AGREE	раздел «Словообразование» (L436)	«синтаксически равные последнему члену» — вершина справа; двандва даны сочинительными парами «хлеб-соль, отец-мать». У З. dvandva формально тоже среди «первичных».
compounds-overview:29	SILENT	—	У З. своя четвёрка tp/karmadhāraya/dvandva/bahuvrīhi (L436) без dvigu, avyayībhāva и иерархии вложения; паниниевскую систематику/Лейтана не трактует. Искал: dvigu, avyayī.
tatpurusha:14	SILENT	—	Паниниевской таксономии нет: ни pradhāna, ни avyayībhāva, ни kevala-samāsa; лишь практический список типов (L436). Искал: pradhāna, avyayī.
tatpurusha:191	SILENT	—	Утверждение о кодовой книге/реестре разметки, не о языке; З. классификацию Лейтана и dvigu не обсуждает. Искал: dvigu, Лейтан.
tatpurusha:92	AGREE	раздел «Словообразование» (L436)	Эндо/экзо через первичные/вторичные: «Вторичные (прилагательные со значением „имеющий то, что названо“)»; невыводимость из членения не обсуждается.
tatpurusha:179	SILENT	—	Рекурсивного членения многочленных композитов нет; лишь «почти нет трехчастных» о ведах (L489). Искал: трехчастн, справа налево.
tatpurusha:162	SILENT	—	upapada-композитов с kṛt-вершиной нет. Искал: upapada, ‑jit, корневые вершины композитов.
bahuvrihi:19	AGREE	раздел «Словообразование» (L436)	«прилагательные со значением „имеющий то, что названо“» — посессивность и внешний референт против «первичных» (= последнему члену); эпоним bahu-vrīhi не разобран.
bahuvrihi:58	SILENT	—	Двусмысленность одной цепочки членов (tp vs bv) не обсуждается. Искал: mahā-bāhu, омонимия композитов.
bahuvrihi:106	AGREE	раздел «Словообразование» (L440)	«аналоги bahuvrīhi — напр. a‑hasta 'безрукий'» + SA‑ «снабженный (чем)» (L454); терминов samānādhikaraṇa/vyadhikaraṇa и числового подтипа нет.
bahuvrihi:84	SILENT	—	Теста-виграхи внешним относительным оборотом нет. Искал: yasya, виграха/парафраза.
case-system-overview:19	AGREE	раздел «Склонение» (L182–223)	Таблица склонения даёт ровно 8 рядов: «N, Voc, A, I, D, Abl, G, L»; термин vibhakti не используется.
case-system-overview:51	SILENT	—	В конспекте вообще нет синтаксиса/функций падежей (только формы). Искал: подлежащее, орудие, обращение.
case-system-overview:66	SILENT	—	Функций падежей нет; сдвиг датив→генитив не обсуждается. Искал: адресат, генитив.
case-system-overview:68	SILENT	—	Функций датива нет; artha‑ лишь в списке существительных 'цель, вещь' (L476), не -artham 'ради'. Искал: artham, ради.
case-system-overview:70	AGREE	раздел «Словообразование» (L438)	«все члены, кроме последнего, представлены чистой основой» — падежное окончание несёт только последний член.
case-system-overview:92	AGREE	раздел «Склонение» (L182–196)	a-основы sg: N ‑s, A ‑am, I «E‑N‑A», D «āyA», Abl «ĀD», G «a‑SYA», L e, Voc ‑Ø; аблатив у З. записан ‑ād (=‑āt).
case-system-overview:98	SILENT	—	Синтаксиса падежей нет; пассив описан только морфологически. Искал: орудие, агенс.
case-system-overview:100	SILENT	—	Функций аблатива нет. Искал: сравнение, Гималаи/чем.
case-system-overview:101	SILENT	—	Функций локатива и абсолютных оборотов нет. Искал: абсолют, gate rāme.
case-system-overview:102	SILENT	—	Карак и падежной теории Панини нет. Искал: kāraka/карака, Панини.
case-system-overview:113	AGREE	раздел «Склонение» (L212, L218)	Строки «sg NVocA n»/«pl NVocA n» (Nom=Acc среднего) и «du NVocA + ‑au», у ā-основ du «E» (=‑e).
nominative-accusative:52	SILENT	—	Синтаксиса падежей нет. Искал: подлежащее, предикатив.
nominative-accusative:57	SILENT	—	Локатива абсолютного и не-номинативных подлежащих нет. Искал: абсолют, sati.
nominative-accusative:61	SILENT	—	Именного сказуемого при связке нет (связка as лишь в футуруме 2, L383). Искал: сказуемое, связка.
nominative-accusative:79	SILENT	—	Синтаксиса аккузатива нет; лишь словообразовательное «Наречия: = Asg n прилагательного» (L434). Искал: цель движения, длительность.
nominative-accusative:88	SILENT	—	Двойного аккузатива нет. Искал: yāc/просить, двойной.
nominative-accusative:113	SILENT	—	Туземных имён падежей нет. Искал: prathamā, dvitīyā, vibhakti.
nominative-accusative:116	SILENT	—	Двойного аккузатива нет (DUH 'доить' лишь в списке корней, L448). Искал: dogdhi, учить.
instrumental-dative:50	SILENT	—	Карак и функций творительного нет. Искал: karaṇa, орудие.
instrumental-dative:53	SILENT	—	Падеж деятеля при пассиве не указан; пассив только формально (L389). Искал: mayā kṛtam, деятель.
instrumental-dative:57	SILENT	—	Функций творительного нет; SAHA 'с' лишь в списке предлогов без указания падежа (L456). Искал: социатив, совместность.
instrumental-dative:66	SILENT	—	Сдвига адресата датив→генитив нет. Искал: адресат, генитив.
instrumental-dative:76	SILENT	—	Датива цели и -artham нет. Искал: artham, ради.
instrumental-dative:97	SILENT	—	Функций творительного нет. Искал: цена, мера, образ действия.
instrumental-dative:99	SILENT	—	Карак и sampradāna нет. Искал: sampradāna, адресат.
instrumental-dative:101	SILENT	—	Лишь «В ведах есть и другие [инфинитивы]» (L393) и вариативные «типы инфинитива» (L491); ‑tave и дативность не названы. Искал: tave, датив.
ablative-genitive:53	SILENT	—	Функций аблатива нет. Искал: apādāna, источник.
ablative-genitive:69	SILENT	—	Функций генитива нет. Искал: принадлежность, посессив.
ablative-genitive:72	SILENT	—	Сдвига роли адресата к генитиву нет. Искал: адресат, датив.
ablative-genitive:75	SILENT	—	Генитивного объекта при глаголе нет. Искал: партитив, объект.
ablative-genitive:134	SILENT	—	Генитива абсолютного нет. Искал: абсолют, paśyato.
ablative-genitive:136	SILENT	—	Ни генитива, ни локатива абсолютного нет. Искал: абсолют, стилистически.
ablative-genitive:131	SILENT	—	Управления предлогов нет; в списке лишь SAHA/VINĀ/UPARI (L456), ṛte отсутствует, ā только преверб 'к, сюда' (L452). Искал: ṛte, до.
