key	verdict	locus	note
perfect:124	AGREE	§ 156 (L2456)	«Все производные глаголы… выражают перфектное значение описательно» — класс у З. шире: все производные + первичные с затруднённым перфектом.
perfect:134	AGREE	§ 130 (L2148)	«juho-/juhu-… dadā-/dad-», bibhar-/bibhṛ- — презенс III класса с удвоением; dadāti/juhoti — §§ 131–132; это презенс, не претерит.
aorist:19	AGREE	§ 139 (L2226)	«имеется 7 типов образования основы аориста»; аорист — одна из трёх разновидностей прошедшего (§ 109).
aorist:84	AGREE	§§ 140–147 (L2232)	abhūt (1 корневой), agamat (2 темат.), akārṣīt (4 s), apāvit (5 iṣ), adikṣat (7 sa), 6 siṣ; «Аорист 3 обычно выступает как аорист каузатива»; avocat у З. — особый случай аориста 3.
aorist:108	AGREE	§ 141 (L2246)	Аорист 2 «совпадает с имперфектом класса VI»; аналогия ред. аориста с имперфектом III класса прямо не проговорена.
aorist-types:19	AGREE	§ 139 (L2226)	«7 типов образования основы аориста от корня», возможно несколько типов от одного корня; контраст с импф./перф. прямо не сформулирован.
aorist-types:61	AGREE	§ 139 (L2226)	Деление есть: «Асигматический аорист (без суффикса s)» — типы 1–3 (корневой, тематический, редуплицированный) и «Сигматический аорист» — 4 s, 5 iṣ, 6 siṣ, 7 sa (§§140–147).
aorist-types:89	AGREE	§ 142 (L2250)	«Аорист 3 обычно выступает как аорист каузатива»; abhūt §140, akārṣīt §144, iṣ §145, siṣ §146, sa от diç/guh §147, общий аугмент §112; но avocat у З. — особый случай аориста 3, не тематического.
aorist-types:63	AGREE	§ 140 (L2232)	В таблице корневого аориста «abhūt» от √bhū «быть»; о супплетивном закрытии парадигмы as/bhū источник прямо не пишет.
future:23	AGREE	§ 157 (L2462)	«равна корню в ступени guṇa + sya (у корней seṭ iṣya)»; kariṣya-, bhaviṣya-; vakṣyati в §35; спряжение как наст. время (первичные окончания).
future:24	AGREE	§ 159 (L2472)	«сочетанию N.sg имени деятеля на -tar-» и √as (1–2 л.); «в 3-м лице выступает просто имя деятеля»; dātā/dātāsmi.
future:26	AGREE	§ 109 (L1810)	«приуроченностью к строго определенному моменту или оттенком особой уверенности»; «уверенность» ≈ неизбежность/предначертанность, но «отдалённости» З. не отмечает.
future:28	AGREE	§ 158 (L2468)	«имперфект от основы будущего времени, например: akariṣyam „я сделал бы“»; употребление в обеих частях условного периода — §109.
ta-na-participles:19	AGREE	§ 162 (L2508)	«называют также пассивным причастием прошедшего времени»; основы на -a; ж. р. «только -ā- у причастий» (§180).
ta-na-participles:20	AGREE	§ 162 (L2510)	«sthita- „вставший, стоящий“, mṛta- „умерший“», gata- — двойное значение; предикативное hataḥ / nirgatāḥ — §§205–206.
ta-na-participles:26	AGREE	§ 162 (L2512)	«Основным является суффикс -ta-; -na- выступает после большинства корней на ar… и на d»; chinna-, bhagna-, gīrṇa-, hīna-.
ta-na-participles:28	AGREE	§ 162 (L2514)	«baddha- от √bandh, dugdha- от √duh, līḍha-» и «dagdha- от √dah»; правила ассимиляции на стыке — §36.
ta-na-participles:84	AGREE	§ 162 (L2512)	«Ступень корня — слабая»; ср. bhū-ta-, ga-ta-, kṛ-ta- (§51).
present-perfect-participles:19	AGREE	§ 109 (L1816)	«склоняемые — причастия (они различают залог и время)»; склонение адъективное (§§91, 94, 180).
present-perfect-participles:102	AGREE	§ 91 (L1406)	«Основы на ant (также ānt), at» — pacant/pacat, согласное склонение; ж. р. pacantī-/chindatī- (§§115, 123, 180).
present-perfect-participles:103	AGREE	§ 123 (L2072)	Атематический медий: «chind-āna- (m, n)»; тематический: pacamāna- (§115).
present-perfect-participles:104	AGREE	§ 160 (L2500)	«chidyamāna- „рассекаемый“»; ср. gṛhyamāṇa- (§38).
present-perfect-participles:105	AGREE	§ 94 (L1508)	«в сильных формах -vāṁs- и -vaṁs-, в средних -vat-, в слабейших -uṣ-»; vidvān/viduṣ-; медий перфекта на -āna- (§155).
present-perfect-participles:107	SILENT	—	Искал семантику причастий (одновременность/состояние): §109 даёт лишь «различают залог и время» и семантику финитного перфекта; такого теста нет.
gerundive:19	AGREE	§ 173 (L2590)	«тот, над которым следует (предстоит) произвести данное действие»; агент в I.: kiṁ mayā kāryam (§206); основы на -a.
gerundive:93	AGREE	§ 173 (L2590)	«Суффиксы -ya- (с редким вариантом -tya-), -tavya- и -anīya-»; «пассивными причастиями будущего времени».
gerundive:94	AGREE	§ 173 (L2590)	«ступень корня большей частью как в каузативе»: «kārya- от √kar», «jayya- или jeya-» от √ji.
gerundive:95	AGREE	§ 173 (L2590)	«получаются простой заменой суффиксов… из инфинитива»; kartavya- при kartum (§164); hantavya-, dātavya-.
gerundive:96	AGREE	§ 173 (L2590)	-anīya- — заменой суффикса «из… имени на -ana- (§174, п. 1)»: «karaṇīya- от √kar».
gerundive:97	AGREE	§ 173 (L2590)	Значение одно; дублеты kārya-/kṛtya-/kartavya-/karaṇīya- «различающиеся лишь некоторыми оттенками значения»; о стилистике/метрике З. не пишет.
infinitive:19	AGREE	§ 164 (L2522)	«равен корню в ступени guṇa + tum (у корней seṭ itum)», jīvitum; этимологию (Acc. на -tu) и управление (śak, iṣ) источник не обсуждает.
infinitive:95	DISAGREE	§ 63 (L858)	«muk-ta-, muk-tvā, mok-tum, mok-tavya-»: у -ta слабая ступень (§162), у -tum/-tavya guṇa (§§164, 173) — основа не та же; общее лишь поведение aniṭ/seṭ.
infinitive:98	SILENT	—	Искал -tave/-dhyai/-toḥ и историю инфинитива: нет; описан только классический -tum (§164), ведийский раздел (§§221–238) — лишь об ударении.
absolutive:19	AGREE	§ 219 (L2862)	«смысловые подлежащие главного и придаточного предложений совпадают»; ≈ русским деепричастиям прош. времени; неизменяемость — §109.
absolutive:25	AGREE	§ 165 (L2524)	«суффикс -tvā (-itvā), у глаголов с превербом -ya (но после краткой гласной -tya)»; -jitya, -çrutya.
absolutive:82	AGREE	§ 165 (L2524)	«Ступень корня — слабая»; bhū-tvā (§165), kṛ-tvā́ (§225).
absolutive:84	AGREE	§ 165 (L2532)	«Изредка встречается деепричастие на -am», çrāvam; редкость и идиоматика (çrāvaṁ çrāvam) есть, «ведийским» его З. не называет.
absolutive:107	SILENT	—	Чисто корпусная статистика DCS (523/1289, ≈2 %); корпусных данных у источника нет.
passive:19	AGREE	§ 160 (L2494)	«равна корню в слабой ступени + ya», «пассив принимает окончания med.»; ucyate, kriyate; ударное yá — прим. (pacyáte).
passive:26	AGREE	§ 160 (L2494)	«(т. е. такая же, как в IV классе)»; прим.: в ведийском различало лишь ударение (pacyáte/pácyate), позже полная омонимия.
passive:106	AGREE	§ 161 (L2504)	Вне -ya-презенса «используется просто med.» (кроме 3 sg аориста на -i); о DCS-теге источник молчит.
causative:14	AGREE	§ 167 (L2544)	«заставить (побудить) делать А»; основа = корень в ступени 3 sg act. перфекта (vṛddhi/guṇa) + aya.
causative:113	AGREE	§ 167 (L2544)	«bodhayati… darçayati… kārayati»; «gamayati „посылает“ от √gam» — guṇa вместо vṛddhi.
causative:114	AGREE	§ 167 (L2550)	«После корней на ā вставляется элемент p, например, sthāpayati»; jñāpayati/jñapayati; правило у З. — про ā, не про любой долгий гласный.
causative:115	AGREE	§ 168 (L2558)	X класс «с формулой основы презенса корень + aya», «спрягаются точно так же, как каузативы»; многозначность aya-основ — §119.
causative:151	AGREE	§ 172 (L2582)	«duḥkhayati „огорчает“ от duḥkha-»; но по §168 часть деноминативов на aya традиция включает в X класс.
causative:32	AGREE	§ 167 (L2554)	«причастие med. bodhayamāna- и bodhayāna-» — медиальные формы каузатива есть; явной формулы «в обоих залогах» нет.
word-structure-overview:25	AGREE	§ 27 (L412)	«понятие основы, т.е. последовательности всех элементов словоформы, кроме окончания»; все 4 способа есть (§§109, 162–197); терминов dhātu/aṅga/kṛt/taddhita нет.
word-structure-overview:30	SILENT	—	О главах/§§ Уитни; источник текст Уитни не цитирует (грамматика Уитни лишь в общем списке литературы, L3046).
word-structure-overview:83	AGREE	§ 117 (L1958)	«Класс I (самый многочисленный)»; цифры 46,5 % у источника нет.
word-structure-overview:28	AGREE	§ 162 (L2506)	«Неличные формы, образуемые у первичных глаголов непосредственно от корня» + отглагольные имена §§173–177; термина kṛt нет.
krt-overview:19	AGREE	§ 175 (L2604)	«kartar- „деятель, создатель“»; kartum §164, -tvā §165, pācaka- §175; деривация от корня §§162–177; термина kṛt нет.
krt-overview:34	SILENT	—	Ссылка на главу/§§ Уитни; источник Уитни в тексте не цитирует.
krt-overview:61	AGREE	§ 165 (L2524)	«суффикс -tvā (-itvā), у глаголов с превербом -ya (но после краткой гласной -tya)».
krt-overview:62	AGREE	§ 173 (L2590)	«Суффиксы -ya- (с редким вариантом -tya-), -tavya- и -anīya-».
krt-overview:63	AGREE	§ 164 (L2522)	«Инфинитив равен корню в ступени guṇa + tum».
krt-overview:67	AGREE	§ 162 (L2508)	«называют также пассивным причастием прошедшего времени»; о DCS-тегах источник молчит.
krt-suffixes:14	SILENT	—	О §§ Уитни; сам инвентарь (-a-, -ana-, -ti-, -tar-, -in-) есть в §§174–176, но текст Уитни источник не цитирует.
krt-suffixes:96	AGREE	§ 181 (L2650)	Отымённый посессив «-in- (с вариантами -vin-, -min-) „обладающий“ A» отделён от агентивного -in- («vādin- „говорящий“», §175, п.2).
krt-suffixes:155	SILENT	—	Искал jana- и членение -a vs -ana: разбора jana- нет; суффиксы -a- и -ana- описаны порознь (§174), о смешении члений не говорится.
krt-suffixes:147	AGREE	§ 176 (L2610)	«Ступень корня — слабая… ā-gati- (f) „приход“»; утрата носового = слабая ступень ряда M (ga-, §§50–51).
taddhita-overview:19	AGREE	§ 178 (L2618)	«Суффиксы присоединяются к основе исходного имени»; amṛtatva- §183, udakamaya- §181, патронимы с обязательным vṛddhi §182; термина taddhita нет.
taddhita-overview:200	AGREE	§ 181 (L2648)	«-a-, -ya-, -eya-, -īya-, -ka-, -aka-, ika-» + -vant-/-mant-/-in-/-vin-, -maya- (§181), -tā-/-tva- (§183), -tara-/-tama- (§185).
taddhita-overview:205	AGREE	§ 181 (L2648)	Функции -ya- разведены: относительная (mukhya-), абстрактная «daurbalya- (n) „слабость“» (§183), патронимическая с vṛddhi (§182); Уитни не цитируется.
taddhita-overview:144	SILENT	—	Оба -in (агентный §175 п.2, посессивный §181 п.2) и оба -ya (герундив §173, отыменный §§181–182) описаны порознь; их омонимия как «граница языка» не тематизируется. Искал: -in, -ya, омоним.
preverbs:19	AGREE	§ 199 (L2768)	«играют практически ту же роль, что русские глагольные префиксы»; значение часто радикально сдвинуто: ā-dadāti «берёт» от √dā «давать».
preverbs:99	SILENT	—	О тексте Уитни; З. Уитни здесь не цитирует. Его собственный список превербов (§199) включает antar, а su/dus — именные префиксы (§200). Искал: Уитни/Whitney, upasarga.
preverbs:104	AGREE	§ 199 (L2776)	«могут стоять по любую сторону от личной формы глагола и отделяться» (ведийский тмесис); лексикализация («значение… уже невыводимо») и стопка sam-abhy-ā-gachati — там же.
compounds-overview:24	AGREE	§ 193 (L2712)	«По смыслу А определяет (дополняет, уточняет) Б» — определитель слева, вершина справа; dvandva отдельно: «означает А и Б» (§192).
compounds-overview:29	AGREE	§ 193 (L2720)	«Эту группу иногда называют dvigu» — двигу внутри кармадхараи; все разряды есть (§§192–194, 202), но karmadhāraya у З. координатен с tatpuruṣa, вложение kdh⊂tp не утверждается.
tatpurusha:14	AGREE	§ 193 (L2712)	«Индийская традиция различает так наз. тип tatpuruṣa» + bahuvrīhi/dvandva/avyayībhāva как традиционные типы (§§192, 194, 202); принцип pradhāna и kevala-samāsa не излагаются.
tatpurusha:191	SILENT	—	Утверждение о кодовой книге/реестре разметки, не о языке. Сам факт dvigu⊂karmadhāraya у З. есть (§193). Искал: dvigu, Лейтан.
tatpurusha:92	AGREE	§ 194 (L2728)	«внешне одинаковы со сложными существительными типа karmadhāraya», но прилагательные со значением «обладающий…» — различие внешнее (экзоцентричность), из членения не выводится.
tatpurusha:179	AGREE	§ 191 (L2700)	«Двучленное сложное слово может вступать в новые сложения» — рекурсия; вершина справа (§193); направление членения явно не формулируется, §204 отмечает неоднозначность связей.
tatpurusha:162	AGREE	§ 193 (L2716)	«В качестве Б часто выступает глагольный корень» — veda-vid-, soma-pā-, sarva-jit-; термин upapada не используется.
bahuvrihi:19	AGREE	§ 194 (L2730)	«bahu-vrīhi- имеющий много риса»; прилагательные со значением «обладающий тем, что обозначено…» — референт вне композита, в отличие от первичных типов.
bahuvrihi:58	AGREE	§ 194 (L2736)	«Омонимия первичных и вторичных сложных имен» признана (внешне одинаковы); различие — функция/внешний референт; пример у З. dīrgha-bāhu-, не mahā-bāhu.
bahuvrihi:106	AGREE	§ 194 (L2730)	«bahuvrīhi на основе karmadhāraya» vs «на основе tatpuruṣa» (~samān./vyadhik.); числовые eka-pad-, sahasra-çīrṣa-; sa-putra-, a-hasta- — §201. Санскритские термины подтипов не даны.
bahuvrihi:84	AGREE	§ 194 (L2730)	«jīva-putra- чьи сыновья живы» — глоссы внешним относительным оборотом («чей друг — Индра»); виграха как формальная процедура-тест не формулируется.
case-system-overview:19	AGREE	§ 71 (L946)	Семь падежей + «звательная форма (вокатив), которая по традиции… включается в список падежей» — восьмичленный список по европейскому счёту; термин vibhakti не даётся.
case-system-overview:51	AGREE	§ 72 (L950)	«царем послано войско; рублю топором» и т.д. — все перечисленные первичные функции N/A/I/D/Abl/G/L даны типовыми примерами; Voc = обращение (§71).
case-system-overview:66	AGREE	§ 72 (L962)	«даю ему (NB, также D.)» — адресат при G. наряду с D.; степень («во многом») З. не квантифицирует.
case-system-overview:68	AGREE	§ 72 (L958)	«делаю для него, предмет для игры» — датив цели; A+artha-: «означают (в разных падежах) для А, ради А» (§197) — у З. это композит, не падежный маркер.
case-system-overview:70	AGREE	§ 191 (L2694)	«Основа сложного имени равна последовательности основ»; падеж — по последнему члену. Нюанс: «Изредка… словоформа какого-либо падежа» как первый член (§196).
case-system-overview:92	AGREE	§ 82 (L1082)	«devaḥ… devam… devena… devāya… devāt… devasya… deve», V. deva — тот же костяк ед.ч. a-склонения.
case-system-overview:98	AGREE	§ 72 (L956)	«царем послано войско; рублю топором; иду (вместе) с другом» + «погиб от молнии» — агенс, орудие, совместность, причина; «образ действия» отдельно не назван.
case-system-overview:100	AGREE	§ 72 (L960)	«сильнее меня» — аблатив сравнения; также «отличный от чего».
case-system-overview:101	AGREE	§ 220 (L2866)	«mṛte bhartari» — locativus absolutus («когда… муж умер»); место и время — §72 («живет в деревне», «происходит в это время»).
case-system-overview:102	SILENT	—	Теория карак не излагается: падежи описаны напрямую через функции (§72). Искал: kāraka/карак, kartṛ, sampradāna, apādāna — терминов нет.
case-system-overview:113	AGREE	§ 75 (L1034)	Средний род: «sg N. V. A.» одной формой (нуль/-m); du N.V.A. devau/sene/vane (§§82–83) — Nom=Acc у n и совпадения -au/-e в дв. ч.
nominative-accusative:52	AGREE	§ 72 (L952)	«он убил тигра, он спит. Двойной N. — он мудр, он учитель» — подлежащее и предикатив; термин kartṛ не используется.
nominative-accusative:57	AGREE	§ 220 (L2866)	«подлежащим и сказуемым, ставятся в locativus» — локативное «подлежащее» именно в обороте locativus absolutus.
nominative-accusative:61	AGREE	§ 72 (L952)	«Двойной N. — он мудр, он учитель, он стал учителем» — именная часть в номинативе; связка необязательна (§205).
nominative-accusative:79	AGREE	§ 72 (L954)	«иду в деревню, к реке; жил год, бежал всю дорогу» — цель движения, время, путь; наречный A.sg n — §188 (nityam).
nominative-accusative:88	AGREE	§ 72 (L954)	«прошу у него это» — двойной аккузатив типа yāc в списке «Двойной A.».
nominative-accusative:113	SILENT	—	Туземные имена падежей не приводятся, только лат./рус. номенклатура (§71). Искал: prathamā, dvitīyā, vibhakti — нет.
nominative-accusative:116	AGREE	§ 72 (L954)	«говорю ему это, прошу у него это; кормлю его этим» — двойной A. при глаголах речи/просьбы и каузативах (§167: kārayati asiṁ bhrātaram); «доить/вести/учить» не названы.
instrumental-dative:50	AGREE	§ 72 (L956)	«рублю топором» — орудие среди первых функций I.; термин karaṇa и ранжирование «основное значение» у З. не даются.
instrumental-dative:53	AGREE	§ 72 (L956)	«царем послано войско» — деятель при пассиве; тж. rajñā mṛgo hanyate (§206).
instrumental-dative:57	AGREE	§ 72 (L956)	«иду (вместе) с другом (NB)» — совместность как функция творительного.
instrumental-dative:66	AGREE	§ 72 (L962)	«даю ему (NB, также D.)» при G. и «даю ему (также G.)» при D. — передача роли адресата генитиву зафиксирована; масштаб («во многом») не квантифицирован.
instrumental-dative:76	AGREE	§ 72 (L958)	«делаю для него, предмет для игры» — датив цели; «ради» через А+artha-: «для А, ради А» (§197), но как полувспомогательный композит, не показатель датива.
instrumental-dative:97	AGREE	§ 72 (L956)	«проехал морем, этой дорогой; прошел за день» + орудие, деятель пассива, совместность (saha — §212), причина; мера-цена отдельно не упомянута.
instrumental-dative:99	AGREE	§ 72 (L958)	«даю ему; делаю для него, предмет для игры; приближаюсь к лесу» — адресат, бенефактив, цель; термин sampradāna не используется.
instrumental-dative:101	SILENT	—	Ведийский датив и инфинитив на -tave не обсуждаются (ведийские разделы — только ударение, §§221–238; инфинитив только -tum, §164). Искал: -tave, ведийский датив.
ablative-genitive:53	AGREE	§ 72 (L960)	«иду от реки, из города» + «сильнее меня», «погиб от молнии, сделал от страха» — источник, сравнение, причина; термин apādāna не даётся.
ablative-genitive:69	AGREE	§ 72 (L962)	«при именах: дом отца, мой дом» — адноминальная принадлежность как первая функция G.; посессивные mama/me — §104.
ablative-genitive:72	AGREE	§ 72 (L962)	«даю ему (NB, также D.)» — G. в роли адресата рядом с дативом.
ablative-genitive:75	AGREE	§ 72 (L962)	«при глаголах: дай воды» — партитивный генитивный объект при глаголе.
ablative-genitive:134	AGREE	§ 220 (L2866)	«tasya pāṭayataḥ kāṣṭham в то время как он рубил дрова» — genetivus absolutus (имя+причастие в G., обстоятельство времени); оттенок пренебрежения не отмечен.
ablative-genitive:136	AGREE	§ 220 (L2866)	«Существенно реже в аналогичной роли встречается… genetivus absolutus» — много реже loc. abs.; стилистическая маркированность отдельно не обсуждается.
ablative-genitive:131	SILENT	—	Предлоги при аблативе не разбираются: §212 даёт vinā «без» и др. без указания падежа; ā «до» и ṛte в тексте отсутствуют. Искал: ṛte, ā «до», предлог+аблатив.
ablative-genitive:132	AGREE	§ 72 (L962)	«чтение книги; радость отца; лучший из людей» — принадлежность, партитив/часть-целое, субъект и объект при отглагольных именах; термин śeṣa не используется.
locative:56	AGREE	§ 72 (L964)	«посылаю в город; происходит в это время» + «в отношении чего, по поводу чего» — место, время, сфера, локатив цели.
locative:22	AGREE	§ 220 (L2866)	«подлежащим и сказуемым, ставятся в locativus»; «может значить когда (после того как, если, так как, хотя)» — суть sati saptamī, сам термин не даётся.
locative:123	AGREE	§ 220 (L2866)	«вместо личной формы глагола в этом случае выступает причастие» — оборот заменяет придаточное, независим от главной клаузы; маркёр sati и перечень причастий не даны.
karaka-case:24	SILENT	—	Карака-модель Панини (1.4.23–55) не излагается. Искал: kāraka/карак, kartṛ, karman, adhikaraṇa — терминов нет; функции падежей даны напрямую (§72).
