id	type	rule	category	lesson	difficulty	question	answer	choices	context
ESD-0020	identify	E-none	unchanged junction	6	easy	Apply external sandhi at the junction: punar + bhavati — does anything change?	punar bhavati	punar bhavati | itavahb ranup | punar bhavata | punar-bhavati	Emeneau&vanNooten 2nd ed. Ex.12 item 6; rule E-none (Whitney ch.III); После VI, IX занятия
ESD-0021	identify	E57+E59	visarga	6	easy	Apply external sandhi at the junction: purusas + ca — does anything change?	purusas ca	purusas ca | ac sasurup | purusas cā | purusas-ca	Emeneau&vanNooten 2nd ed. Ex.12 item 7; rule E57+E59 (Whitney ch.III); После VI, IX занятия
ESD-0022	identify	E-none	unchanged junction	6	easy	Apply external sandhi at the junction: ca + khanati — does anything change?	ca khanati	ca khanati | itanahk ac | ca khanata | ca-khanati	Emeneau&vanNooten 2nd ed. Ex.12 item 7; rule E-none (Whitney ch.III); После VI, IX занятия
ESD-0023	join	E50	visarga	6	medium	Join (external sandhi): nalas + abravīt	nalo 'bravīt	nalo 'bravīt | nalas abravīt | nale 'bravit | nalo-'bravīt	Emeneau&vanNooten 2nd ed. Ex.12 item 8; rule E50 (Whitney ch.III); После VI, IX занятия
ESD-0024	join	E51	visarga	6	medium	Join (external sandhi): nalas + eti	nala eti	nala eti | nalas eti | nala oti | nala-eti	Emeneau&vanNooten 2nd ed. Ex.12 item 9; rule E51 (Whitney ch.III); После VI, IX занятия
ESD-0025	join	E53	visarga	6	medium	Join (external sandhi): nalas + bādhyate	nalo bādhyate	nalo bādhyate | nalas bādhyate | nale badhyato | nalo-bādhyate	Emeneau&vanNooten 2nd ed. Ex.12 item 10; rule E53 (Whitney ch.III); После VI, IX занятия
ESD-0026	join	E55	visarga	6	medium	Join (external sandhi): rājaputrās + āhus	rājaputrā āhus	rājaputrā āhus | rājaputrās āhus | rajaputra ahus | rājaputrā-āhus	Emeneau&vanNooten 2nd ed. Ex.12 item 11-12; rule E55 (Whitney ch.III); После VI, IX занятия
ESD-0027	join	E55	visarga	6	medium	Join (external sandhi): śaśās + bibhyati	śaśā bibhyati	śaśā bibhyati | śaśās bibhyati | śaśa bibhyati | śaśā-bibhyati	Emeneau&vanNooten 2nd ed. Ex.12 item 13; rule E55 (Whitney ch.III); После VI, IX занятия
ESD-0028	join	E56	visarga	6	medium	Join (external sandhi): devās + rocante	devā rocante	devā rocante | devās rocante | dova recanto | devā-rocante	Emeneau&vanNooten 2nd ed. Ex.12 item 14; rule E56 (Whitney ch.III); После VI, IX занятия
ESD-0029	join	E56	visarga	6	medium	Join (external sandhi): śiśus + roditi	śiśū roditi	śiśū roditi | śiśus roditi | śiśu rediti | śiśū-roditi	Emeneau&vanNooten 2nd ed. Ex.12 item 15; rule E56 (Whitney ch.III); После VI, IX занятия
ESD-0030	join	E57+E58	visarga	6	medium	Join (external sandhi): śiśus + jalpati	śiśur jalpati	śiśur jalpati | śiśus jalpati | śiśur jalpata | śiśur-jalpati	Emeneau&vanNooten 2nd ed. Ex.12 item 16; rule E57+E58 (Whitney ch.III); После VI, IX занятия
ESD-0031	join	E51	visarga	6	medium	Join (external sandhi): paraśubhis + akṛntan	paraśubhi akṛntan	paraśubhi akṛntan | paraśubhis akṛntan | paraśubhi akrintan | paraśubhi-akṛntan	Emeneau&vanNooten 2nd ed. Ex.12 item 17; rule E51 (Whitney ch.III); После VI, IX занятия
ESD-0032	join	E52	visarga	6	medium	Join (external sandhi): sas + puruṣas	sa puruṣas	sa puruṣas | sas puruṣas | sa puruṣaa | sa-puruṣas	Emeneau&vanNooten 2nd ed. Ex.12 item 18,19; rule E52 (Whitney ch.III); После VI, IX занятия
ESD-0033	join	E57+E59	visarga	6	medium	Join (external sandhi): muhur + cakṣus	muhuś cakṣus	muhuś cakṣus | muhur cakṣus | muhuś cakṣua | muhuś-cakṣus	Emeneau&vanNooten 2nd ed. Ex.12 item 20; rule E57+E59 (Whitney ch.III); После VI, IX занятия
ESD-0034	join	E57+E58	visarga	6	medium	Join (external sandhi): cakṣus + nyamisat	cakṣur nyamisat	cakṣur nyamisat | cakṣus nyamisat | cakṣur nyamisaa | cakṣur-nyamisat	Emeneau&vanNooten 2nd ed. Ex.12 item 20; rule E57+E58 (Whitney ch.III); После VI, IX занятия
ESD-0035	join	E60	anusvāra / nasal	7	medium	Join (external sandhi): aham + trīn	ahaṃ trīn	ahaṃ trīn | aham trīn | ahaṃ trin | ahaṃ-trīn	Emeneau&vanNooten 2nd ed. Ex.13 item 1; rule E60 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0036	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: trīn + kumārān — does anything change?	trīn kumārān	trīn kumārān | nārāmuk nīrt | trin kumaran | trīn-kumārān	Emeneau&vanNooten 2nd ed. Ex.13 item 1; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0037	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: kumārān + paśyāmi — does anything change?	kumārān paśyāmi	kumārān paśyāmi | imāyśap nārāmuk | kumaran paśyami | kumārān-paśyāmi	Emeneau&vanNooten 2nd ed. Ex.13 item 1; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0038	join	E62	anusvāra / nasal	7	medium	Join (external sandhi): kasmin + cit	kasmiṃś cit	kasmiṃś cit | kasmin cit | kasmiṃś cia | kasmiṃś-cit	Emeneau&vanNooten 2nd ed. Ex.13 item 2; rule E62 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0039	join	E71	consonant	7	medium	Join (external sandhi): cit + vane	cid vane	cid vane | cit vane | cid vano | cid-vane	Emeneau&vanNooten 2nd ed. Ex.13 item 2; rule E71 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0040	join	E62	anusvāra / nasal	7	medium	Join (external sandhi): bhavān + tatra	bhavāṃs tatra	bhavāṃs tatra | bhavān tatra | bhavaṃs tatra | bhavāṃs-tatra	Emeneau&vanNooten 2nd ed. Ex.13 item 3; rule E62 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0041	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: tatra + tiṣṭhatu — does anything change?	tatra tiṣṭhatu	tatra tiṣṭhatu | utahṭṣit artat | tatra tiṣṭhata | tatra-tiṣṭhatu	Emeneau&vanNooten 2nd ed. Ex.13 item 3; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0042	join	E56	visarga	7	medium	Join (external sandhi): sas + rājā	sā rājā	sā rājā | sas rājā | sa raja | sā-rājā	Emeneau&vanNooten 2nd ed. Ex.13 item 4,5,6; rule E56 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0043	join	E44	vowel coalescence	7	medium	Join (external sandhi): rājā + asmān	rājāsmān	rājāsmān | rājā asmān | rajasman | rājāsmānḥ	Emeneau&vanNooten 2nd ed. Ex.13 item 4,5,6; rule E44 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0044	join	E63	anusvāra / nasal	7	medium	Join (external sandhi): rājāsmān + jeṣyati	rājāsmāñ jeṣyati	rājāsmāñ jeṣyati | rājāsmān jeṣyati | rajasmañ joṣyati | rājāsmāñ-jeṣyati	Emeneau&vanNooten 2nd ed. Ex.13 item 4,5,6; rule E63 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0045	join	E64	anusvāra / nasal	7	medium	Join (external sandhi): tasmin + śayane	tasmiñ chayane	tasmiñ chayane | tasmin śayane | tasmiñ chayano | tasmiñ-chayane	Emeneau&vanNooten 2nd ed. Ex.13 item 7; rule E64 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0046	join	E65	anusvāra / nasal	7	medium	Join (external sandhi): trīn + lokān	trīṃl lokān	trīṃl lokān | trīn lokān | triṃl lekan | trīṃl-lokān	Emeneau&vanNooten 2nd ed. Ex.13 item 8,9; rule E65 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0047	join	E63	anusvāra / nasal	7	medium	Join (external sandhi): lokān + jayati	lokāñ jayati	lokāñ jayati | lokān jayati | lekañ jayati | lokāñ-jayati	Emeneau&vanNooten 2nd ed. Ex.13 item 8,9; rule E63 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0048	join	E61	anusvāra / nasal	7	medium	Join (external sandhi): tasmin + araṇye	tasminn araṇye	tasminn araṇye | tasmin araṇye | tasminn araṇyo | tasminn-araṇye	Emeneau&vanNooten 2nd ed. Ex.13 item 10; rule E61 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0049	join	E50	visarga	7	medium	Join (external sandhi): atas + aham	ato 'ham	ato 'ham | atas aham | ate 'ham | ato-'ham	Emeneau&vanNooten 2nd ed. Ex.13 item 11-15; rule E50 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0050	join	E60	anusvāra / nasal	7	medium	Join (external sandhi): 'ham + bravīmi	'haṃ bravīmi	'haṃ bravīmi | 'ham bravīmi | 'haṃ bravimi | 'haṃ-bravīmi	Emeneau&vanNooten 2nd ed. Ex.13 item 11-15; rule E60 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0051	join	E45	vowel coalescence	7	medium	Join (external sandhi): bravīmi + upayam	bravīmy upayam	bravīmy upayam | bravīmi upayam | bravimy upayam | bravīmy-upayam	Emeneau&vanNooten 2nd ed. Ex.13 item 11-15; rule E45 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0052	join	E60	anusvāra / nasal	7	medium	Join (external sandhi): upayam + cintayet	upayaṃ cintayet	upayaṃ cintayet | upayam cintayet | upayaṃ cintayot | upayaṃ-cintayet	Emeneau&vanNooten 2nd ed. Ex.13 item 11-15; rule E60 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0053	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: cintayet + prājñas — does anything change?	cintayet prājñas	cintayet prājñas | sañjārp teyatnic | cintayot prajñas | cintayet-prājñas	Emeneau&vanNooten 2nd ed. Ex.13 item 11-15; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0054	join	E51	visarga	7	medium	Join (external sandhi): prājñas + iti	prājña iti	prājña iti | prājñas iti | prajña iti | prājña-iti	Emeneau&vanNooten 2nd ed. Ex.13 item 11-15; rule E51 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0055	join	E57	visarga	7	medium	Join (external sandhi): tatas + savismayam	tataḥ savismayam	tataḥ savismayam | tatas savismayam | tataḥ savismayaa | tataḥ-savismayam	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E57 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0056	join	E60	anusvāra / nasal	7	medium	Join (external sandhi): savismayam + sarvāis	savismayaṃ sarvāis	savismayaṃ sarvāis | savismayam sarvāis | savismayaṃ sarvais | savismayaṃ-sarvāis	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E60 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0057	join	E57+E58	visarga	7	medium	Join (external sandhi): sarvāis + dṛṣṭas	sarvāir dṛṣṭas	sarvāir dṛṣṭas | sarvāis dṛṣṭas | sarvair driṣṭas | sarvāir-dṛṣṭas	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E57+E58 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0058	join	E57	visarga	7	medium	Join (external sandhi): dṛṣṭas + pṛṣṭas	dṛṣṭaḥ pṛṣṭas	dṛṣṭaḥ pṛṣṭas | dṛṣṭas pṛṣṭas | driṣṭaḥ priṣṭas | dṛṣṭaḥ-pṛṣṭas	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E57 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0059	identify	E57+E59	visarga	7	easy	Apply external sandhi at the junction: pṛṣṭas + ca — does anything change?	pṛṣṭas ca	pṛṣṭas ca | ac saṭṣṛp | priṣṭas ca | pṛṣṭas-ca	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E57+E59 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0060	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: ca + bhos — does anything change?	ca bhos	ca bhos | sohb ac | ca bhes | ca-bhos	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0061	join	E57	visarga	7	medium	Join (external sandhi): bhos + kim	bhoḥ kim	bhoḥ kim | bhos kim | bheḥ kim | bhoḥ-kim	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E57 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0062	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: kim + idam — does anything change?	kim idam	kim idam | madi mik | kim idaa | kim-idam	Emeneau&vanNooten 2nd ed. Ex.13 item 16-21; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0063	join	E44	vowel coalescence	7	medium	Join (external sandhi): sā + abravīt	sābravīt	sābravīt | sā abravīt | sabravit | sābravītḥ	Emeneau&vanNooten 2nd ed. Ex.13 item 22-25; rule E44 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0064	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: sābravīt + katham — does anything change?	sābravīt katham	sābravīt katham | mahtak tīvarbās | sabravit katham | sābravīt-katham	Emeneau&vanNooten 2nd ed. Ex.13 item 22-25; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0065	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: katham + etat — does anything change?	katham etat	katham etat | tate mahtak | katham otat | katham-etat	Emeneau&vanNooten 2nd ed. Ex.13 item 22-25; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0066	join	E71	consonant	7	medium	Join (external sandhi): etat + iti	etad iti	etad iti | etat iti | otad iti | etad-iti	Emeneau&vanNooten 2nd ed. Ex.13 item 22-25; rule E71 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0067	identify	E-none	unchanged junction	7	easy	Apply external sandhi at the junction: iti + sas — does anything change?	iti sas	iti sas | sas iti | iti saa | iti-sas	Emeneau&vanNooten 2nd ed. Ex.13 item 22-25; rule E-none (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0068	join	E50	visarga	7	medium	Join (external sandhi): sas + abravīt	so 'bravīt	so 'bravīt | sas abravīt | se 'bravit | so-'bravīt	Emeneau&vanNooten 2nd ed. Ex.13 item 22-25; rule E50 (Whitney ch.III); После VII, X, XVIII занятия (+таблица сандхи)
ESD-0069	join	E57	visarga	5	medium	Join (external sandhi): kīlakas + sthānāt	kīlakaḥ sthānāt	kīlakaḥ sthānāt | kīlakas sthānāt | kilakaḥ sthanat | kīlakaḥ-sthānāt	Emeneau&vanNooten 2nd ed. Ex.14 item 11,12; rule E57 (Whitney ch.III); После V, IX занятия
ESD-0070	join	E67	consonant	5	medium	Join (external sandhi): sthānāt + calisyati	sthānāc calisyati	sthānāc calisyati | sthānāt calisyati | sthanac calisyati | sthānāc-calisyati	Emeneau&vanNooten 2nd ed. Ex.14 item 11,12; rule E67 (Whitney ch.III); После V, IX занятия
ESD-0071	join	E71	consonant	5	medium	Join (external sandhi): yat + vṛttam	yad vṛttam	yad vṛttam | yat vṛttam | yad vrittam | yad-vṛttam	Emeneau&vanNooten 2nd ed. Ex.14 item 13-15; rule E71 (Whitney ch.III); После V, IX занятия
ESD-0072	join	E60	anusvāra / nasal	5	medium	Join (external sandhi): vṛttam + tat	vṛttaṃ tat	vṛttaṃ tat | vṛttam tat | vrittaṃ tat | vṛttaṃ-tat	Emeneau&vanNooten 2nd ed. Ex.14 item 13-15; rule E60 (Whitney ch.III); После V, IX занятия
ESD-0073	join	E71	consonant	5	medium	Join (external sandhi): tat + bhavatā	tad bhavatā	tad bhavatā | tat bhavatā | tad bhavata | tad-bhavatā	Emeneau&vanNooten 2nd ed. Ex.14 item 13-15; rule E71 (Whitney ch.III); После V, IX занятия
ESD-0074	join	E43	vowel coalescence	5	medium	Join (external sandhi): bhavatā + iṣṭam	bhavateṣṭam	bhavateṣṭam | bhavatā iṣṭam | bhavatoṣṭam | bhavateṣṭamḥ	Emeneau&vanNooten 2nd ed. Ex.14 item 13-15; rule E43 (Whitney ch.III); После V, IX занятия
ESD-0075	identify	E-none	unchanged junction	5	easy	Apply external sandhi at the junction: kādā + cit — does anything change?	kādā cit	kādā cit | tic ādāk | kada cit | kādā-cit	Emeneau&vanNooten 2nd ed. Ex.14 item 16-20; rule E-none (Whitney ch.III); После V, IX занятия
ESD-0076	join	E71	consonant	5	medium	Join (external sandhi): cit + vānarayūthas	cid vānarayūthas	cid vānarayūthas | cit vānarayūthas | cid vanarayuthas | cid-vānarayūthas	Emeneau&vanNooten 2nd ed. Ex.14 item 16-20; rule E71 (Whitney ch.III); После V, IX занятия
ESD-0077	join	E51	visarga	5	medium	Join (external sandhi): vānarayūthas + itas	vānarayūtha itas	vānarayūtha itas | vānarayūthas itas | vanarayutha itas | vānarayūtha-itas	Emeneau&vanNooten 2nd ed. Ex.14 item 16-20; rule E51 (Whitney ch.III); После V, IX занятия
ESD-0078	identify	E57+E59	visarga	5	easy	Apply external sandhi at the junction: itas + tatas — does anything change?	itas tatas	itas tatas | satat sati | itas tataa | itas-tatas	Emeneau&vanNooten 2nd ed. Ex.14 item 16-20; rule E57+E59 (Whitney ch.III); После V, IX занятия
ESD-0079	identify	E57+E59	visarga	5	easy	Apply external sandhi at the junction: tatas + ca — does anything change?	tatas ca	tatas ca | ac satat | tatas cā | tatas-ca	Emeneau&vanNooten 2nd ed. Ex.14 item 16-20; rule E57+E59 (Whitney ch.III); После V, IX занятия
ESD-0080	identify	E-none	unchanged junction	5	easy	Apply external sandhi at the junction: ca + krīḍan — does anything change?	ca krīḍan	ca krīḍan | naḍīrk ac | ca kriḍan | ca-krīḍan	Emeneau&vanNooten 2nd ed. Ex.14 item 16-20; rule E-none (Whitney ch.III); После V, IX занятия
ESD-0081	join	E61	anusvāra / nasal	5	medium	Join (external sandhi): krīḍan + āgatas	krīḍann āgatas	krīḍann āgatas | krīḍan āgatas | kriḍann agatas | krīḍann-āgatas	Emeneau&vanNooten 2nd ed. Ex.14 item 16-20; rule E61 (Whitney ch.III); После V, IX занятия
ESD-0082	join	E43	vowel coalescence	7	medium	Form the compound: rāja + ṛṣi — meaning: 'royal sage.'	rājarṣi	rājarṣi | rāja ṛṣi | rajarṣi | rājarṣiḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 11 (compound 'royal sage.'); После VII, IX занятия
ESD-0083	join	E44	vowel coalescence	7	medium	Form the compound: madhu + utsava — meaning: 'festival of spring.'	madhūtsava	madhūtsava | madhu utsava | madhutsava | madhūtsavaḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 12 (compound 'festival of spring.'); После VII, IX занятия
ESD-0084	join	E43	vowel coalescence	7	medium	Form the compound: nala + upākhyāna — meaning: 'story about Nala.'	nalopākhyāna	nalopākhyāna | nala upākhyāna | nalepakhyana | nalopākhyānaḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 14 (compound 'story about Nala.'); После VII, IX занятия
ESD-0085	join	E43	vowel coalescence	7	medium	Form the compound: sītā + ūrmilā — meaning: 'Sītā and Ūrmilā.'	sītormilā	sītormilā | sītā ūrmilā | sitermila | sītormilāḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 15 (compound 'Sītā and Ūrmilā.'); После VII, IX занятия
ESD-0086	join	E45	vowel coalescence	7	medium	Form the compound: pitṛ + artham — meaning: 'for father'	pitrartham	pitrartham | pitṛ artham | pitrarthaa | pitrarthamḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 16 (compound 'for father'); После VII, IX занятия
ESD-0087	join	E45	vowel coalescence	7	medium	Form the compound: māndhātṛ + upākhyāna — meaning: 'Māndhātṛ episode.'	māndhātrupākhyāna	māndhātrupākhyāna | māndhātṛ upākhyāna | mandhatrupakhyana | māndhātrupākhyānaḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 17 (compound 'Māndhātṛ episode.'); После VII, IX занятия
ESD-0088	join	E45	vowel coalescence	7	medium	Form the compound: strī + agāra — meaning: 'the women'	stryagāra	stryagāra | strī agāra | stryagara | stryagāraḥ	Emeneau&vanNooten 2nd ed. Ex.11 item 18 (compound 'the women'); После VII, IX занятия
ESD-0089	join	E67	consonant	5	medium	Form the compound: tat + chāyā — meaning: 'his shadow.'	tacchāyā	tacchāyā | tat chāyā | tacchaya | tacchāyāḥ	Emeneau&vanNooten 2nd ed. Ex.14 item ? (compound 'his shadow.'); После V, IX занятия
ESD-0090	join	E67+E71	consonant	5	medium	Form the compound: tat + jñāna — meaning: 'knowledge of that.'	tajjñāna	tajjñāna | tat jñāna | tajjñana | tajjñānaḥ	Emeneau&vanNooten 2nd ed. Ex.14 item 2 (compound 'knowledge of that.'); После V, IX занятия
ESD-0091	join	E66+E67	consonant	5	medium	Form the compound: tat + śabda — meaning: 'that word.'	tacchabda	tacchabda | tat śabda | tacchabdā | tacchabdaḥ	Emeneau&vanNooten 2nd ed. Ex.14 item 5 (compound 'that word.'); После V, IX занятия
ESD-0092	join	E69	consonant	5	medium	Form the compound: vāk + madhura — meaning: 'sweet of speech.'	vāṅmadhura	vāṅmadhura | vāk madhura | vaṅmadhura | vāṅmadhuraḥ	Emeneau&vanNooten 2nd ed. Ex.14 item 7 (compound 'sweet of speech.'); После V, IX занятия
