lesson	lemma_iast	band	count_all	rank_all	topic	form	example_iast	dcs_text	dcs_locus	ru	ru_source
XXI	vid	топ-100	9384	48	уход в перифрастический перфект (HK-25)	vidvān	vidvān evopadeṣṭavyo nāvidvāṃs tu kadācana	Hitopadeśa	Hitop, 3, 5.2	наставлять следует лишь знающего — и никогда незнающего	authored
XXI	ās	топ-1000	1379	494	уход в перифрастический перфект (HK-25)	āsate	śaśino vyapadeśena śaśakāḥ sukham āsate	Hitopadeśa	Hitop, 3, 14.3	под покровительством месяца зайцы живут счастливо	authored
XXI	śru	топ-100	9431	47	корень aniṭ (HK-26)	śṛṇuta	viṣṇuśarmovāca śṛṇuta yūyam	Hitopadeśa	Hitop, 1, 2.3	Вишнушарман сказал: слушайте!	authored
XXII	as	топ-100	24567	17	вспомогательный перифрастического перфекта (91,4 %)	āsa	tyājayāmāsa rathyāyāṃ nirapekṣatayā niśi	Kathāsaritsāgara	KSS, 3, 6, 126.2	ночью, ни на что не глядя, велел бросить [его] на дороге	authored
XXII	tāḍay	редкое	435	1585	типичная основа на -ay при -ām (SG-MO-017)	tāḍayāmāsa	utpatya ca hanūmantaṃ tāḍayāmāsa muṣṭinā	Rāmāyaṇa	Rām, Yu, 58, 38.2	и, взлетев, ударил Ханумана кулаком	authored
XXX	manas	топ-100	5528	74	средний тип на -as (HK-32)	manaḥ	netravaktravikāreṇa lakṣyate 'ntargataṃ manaḥ	Hitopadeśa	Hitop, 2, 50.2	по перемене глаз и лица распознается скрытая мысль	authored
XXX	tejas	топ-1000	3472	143	средний тип на -as (HK-32)	tejasā	tasmād abhibhavaty eṣa sarvabhūtāni tejasā	Manusmṛti	ManuS, 7, 5.2	потому он превосходит все существа [своим] блеском	authored
XXX	candramas	редкое	369	1812	мужской контрпример на -as (HK-32)	candramās	ekaś candramās tamo hanti na ca tārāgaṇair api	Hitopadeśa	Hitop, 0, 18.3	одна луна разгоняет тьму — не [сделать этого] и сонмам звезд	authored
XXXII	mahābāhu	редкое	21	11898	род bahuvrīhi по носителю признака (HK-34)	mahābāhur	āgantā hi mahābāhur ānṛśaṃsyārtham acyutaḥ	Mahābhārata	MBh, 5, 68, 14.3	ведь придет мощнорукий Ачьюта ради милосердия	authored
XXXVII	sthā	топ-100	7882	57	корневой аорист не из списка «-ā и bhū» (HK-38)	asthāt	dvitīyam apy antarakalpam asthāt	Saddharmapuṇḍarīkasūtra	SDhPS, 7, 27	он пребыл и вторую промежуточную кальпу	authored
XXXVII	dā	топ-100	9987	43	корневой аорист (HK-38)	adāt	aṅgulīyam abhijñānam adāt tubhyaṃ yaśasvini	Rāmāyaṇa	Rām, Su, 56, 81.2	он дал тебе перстень как опознавательный знак, о славная	authored
XXXVII	dhā	топ-1000	2272	283	корневой аорист (HK-38)	dhīmahi	viśvā vāmāni dhīmahi	Āpastambaśrautasūtra	ĀpŚS, 6, 23, 1.6	да обретем мы все блага	authored
XXXVII	kram	редкое	276	2293	корневой аорист (HK-38)	akramuḥ	pra somāsaḥ svādhyaḥ pavamānāso akramuḥ	Ṛgveda	ṚV, 9, 31, 1	выступили вперед благодатные сомы, очищаясь	authored
XXXIX	samāgam	редкое	697	1029	двухпревербный глагол sam-ā-gam (HK-40)	samāgato	pṛṣṭaś ca kas tvam kutaḥ samāgato 'si	Hitopadeśa	Hitop, 3, 4.11	и спрошен был: кто ты, откуда пришел?	authored
